[Normal Axes]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
w_melee_kings_executioner|Headsman's Bloodthirster|Headsman's Bloodhirster|Sanguinária do Chefe|Кровожадный палач|嗜血劊子手|ヘッズマン・ブラッドサースター|사형집행인의 피에 굶주린 자 (Headsman's Bloodthirster)|Blutdürster des Henkers|Soif-de-Sang du Bourreau|Sanguinaria del Verdugo|Krwawe Pragnienie Katowskiego
w_melee_shishkebab|Shishkebab|Shishkebab|Shishkebab|Шишкебаб|烤肉串|シシケバブ|쉬쉬케밥 (Shishkebab)|Schaschlik|Shishkebab|Shishkebab|Shishkebab
w_melee_stormslayer|Stormslayer|Stormslayer|Matador de Tempestades|Убийца бурь|風暴殺手|ストームスレイヤー|폭풍 학살자 (Stormslayer)|Sturmtöter|Tueur de Tempêtes|Matatormentas|Zabójca Burzy
w_melee_blood_moon_crescent|Blood Moon Crescent|Blood Moon Crescent|Lua Crescente de Sangue|Полумесяц кровавой луны|血色新月|ブラッドムーン・クレセント|붉은 달 초승달 (Blood Moon Crescent)|Blutmondsichel|Croissant de Lune de Sang|Media Luna de Sangre|Półksiężyc Krwawego Księżyca
w_melee_stofflix_cooking_cleaver|Stofflix Cooking Cleaver|Stofflix-keittoleikkaus|Cutelo de Cozinha Stofflix|Кулинарный тесак Stofflix|斯托夫利克斯的烹飪剁刀|ストフリックス・クッキング・クリーバー|스토플릭스 요리용 도끼 (Stofflix Cooking Cleaver)|Stofflix-Kochhackmesser|Couperet de Cuisine Stofflix|Cuchilla de Cocina de Stofflix|Tasak Kuchenny Stofflixa
w_melee_doom_cutter|Doom Cutter|Doom Cutter|Cortador da Perdição|Резак смерти|末日切割者|ドゥームカッター|파멸 절단기 (Doom Cutter)|Verdammnisschneider|Coupe-Maudit|Cuchilla de la Perdición|Krajalnik Zagłady
w_melee_pit_fighters_skullcracker|Pit Fighter's Skullcracker|Pit Fighter's Skullcracker|Quebra-crânios do Lutador de Arena|Чернокнижник бойца ямы|鬥士坑碎顱錘|ピットファイター・スカルクラッカー|피트 파이터의 해골 분쇄기 (Pit Fighter's Skullcracker)|Schädelknacker des Grubenkämpfers|Casse-Crâne du Combattant de la Fosse|Rompecráneos del Luchador de Foso|Rozbijacz Czaszek Pit Fightera
w_melee_pit_fighters_brutalizer|Pit Fighter's Brutalizer|Pit Fighter's Brutalizer|Brutalizador do Lutador de Arena|Брутализатор бойца ямы|鬥士坑殘暴者|ピットファイター・ブルータライザー|피트 파이터의 잔혹자 (Pit Fighter's Brutalizer)|Brutalisierer des Grubenkämpfers|Brutalisateur du Combattant de la Fosse|Brutalizador del Luchador de Foso|Brutalizator Pit Fightera
w_melee_metal_vocalists_warlock|Metal Vocalist's Warlock|Metal Vocalist's Warlock |Bruxo do Vocalista de Metal |Чернокнижник вокалиста метала |重金屬術師 |メタルボーカリスト・ウォーロック |메탈 보컬리스트의 흑마법사 (Metal Vocalist's Warlock)|Hexenmeister des Metal-Sängers|Démoniste du Chanteur de Métal |Brujo del Vocalista de Metal|Warlock Metalowego Wokalisty
w_melee_fenrirs_bloodfang|Fenrir's Bloodfang|Fenrir's Bloodfang|Presa Sangrenta de Fenrir |Кровавый клык Фенрира |芬里爾血牙 |フェンリルの血牙 |펜리르의 피의 송곳니 |Fenrirs Blutfang|Croc de sang de Fenrir |Colmillo de sangre de Fenrir |Krwawy Kieł Fenrira
w_melee_grimtides_scimitar|Grimtide´s Scimitar||Cimitarra de Grimtide|Ятаган Мрачного Прилива|嚴潮彎刀|グリムタイドのシミター|그림타이드의 시미터|Grimtides Krummsäbel|Cimeterre de Grimtide|Cimitarra de Grimtide|Bułat Grimtide’a
w_melee_phantom_scimitar|Phantom Scimitar||Cimitarra Fantasma |Призрачный ятаган |幻影彎刀|ファントム・シミター |팬텀 시미터|Phantom-Krummsäbel |Cimeterre fantôme |Cimitarra Fantasma|Widmowy bułat
|||||||||||
lore_w_melee_st_mikas_zweihander|Over the ages, Saint Mika's Zweihander became a relic passed down through the generations to those deemed worthy of its immense power. Many sought the sword for their own ambitions, but only those who held wisdom in their hearts and remained humble in the face of its might could unlock its true potential.|Aikojen saatossa Pyhän Mikan Zweihanderista tuli jäänne, joka välitettiin sukupolvelta toiselle niille, joita pidettiin sen valtavan voiman arvoisena. Monet etsivät miekkaa omiin pyrkimyksiinsä, mutta vain ne, jotka pitivät viisautta sydämessään ja pysyivät nöyränä sen voiman edessä, pystyivät vapauttamaan sen todellisen potentiaalin.|Ao longo do tempo, a Zweihänder de St. Mika se tornou uma relíquia passada pelas gerações para aqueles considerados dignos de seu imenso poder. Muitos procuraram a espada para suas próprias ambições, mas apenas aqueles que carregavam sabedoria em seus corações e permaneceram humildes diante de seu poder poderiam liberar seu verdadeiro potencial.|На протяжении веков Цвайхандер святого Мики становился реликвией, передаваемой из поколения в поколение тем, кого считали достойными его огромной силы. Многие искали меч для своих собственных амбиций, но только те, кто хранил мудрость в своих сердцах и оставался смиренным перед лицом его мощи, могли раскрыть его истинный потенциал.|千百年来, 聖米卡的雙手劍成為一件代代相傳的聖物, 只贈予那些被認為配得上其強大力量的人。 許多人為了私慾追尋這把劍, 但只有那些內心充滿智慧, 並在其威力面前保持謙遜的人, 才能釋放其真正的潛力。 |聖ミカのツヴァイヘンダーは、時代を超えて、その強大な力に相応しいと認められた者たちに受け継がれる聖なる宝物となった。多くの者が己の野望のためにこの剣を求めたものの、心に叡智を宿し、その威力に謙虚であり続けた者だけが、その真の力を引き出すことができた。|세월이 흐르면서 세인트 미카의 츠바이핸더는 엄청난 힘에 합당한 자들에게 대대로 전해지는 성유물이 되었다. 수많은 이들이 자신의 야망을 위해 이 검을 탐냈지만, 오직 마음에 지혜를 품고, 그 힘 앞에서도 겸손함을 잃지 않은 자만이 검의 진정한 힘을 깨울 수 있었다.|Im Laufe der Zeit wurde der Zweihänder des Heiligen Mika zu einer Reliquie, die von Generation zu Generation an diejenigen weitergegeben wurde, die seiner immensen Macht würdig waren. Viele strebten nach dem Schwert für ihre eigenen Ambitionen, doch nur diejenigen, die Weisheit in ihren Herzen trugen und angesichts seiner Macht demütig blieben, konnten sein wahres Potenzial freisetzen.|Au fil du temps, la légendaire Zweihander de Saint Mika est devenue une relique transmise de génération en génération à ceux jugés dignes de son immense pouvoir. Beaucoup recherchaient l'épée pour leurs propres ambitions, mais seuls ceux qui portaient la sagesse dans leur cœur et restaient humbles face à sa puissance pouvaient révéler son véritable potentiel.|A lo largo de los siglos, la Zweihänder de Santa Mika se convirtió en una reliquia transmitida de generación en generación a aquellos considerados dignos de su imenso poder. Muchos buscaron la espada para sus propias ambiciones, pero solo aquellos que albergaban sabiduría en sus corazones y se mantenían humildes ante su poder podían desatar su verdadero potencial.|Przez wieki Zweihänder św. Miki stał się reliktem przekazywanym przez pokolenia tym, którzy zostali uznani za godnych jego ogromnej mocy. Wielu szukało tego miecza dla własnych ambicji, lecz tylko ci, którzy nosili mądrość w sercach i pozostawali pokorni wobec jego potęgi, mogli odblokować jego prawdziwy potencjał.
lore_w_melee_st_rexis_sundering_axe|This axe does not belong to a saint in the traditional sense, for he did not follow the path of divinity or devotion to a particular deity. Instead, Saint Rexi was a warrior of unparalleled skill and valor, revered by the people as a guardian and protector.|Tämä kirves ei kuulu pyhälle perinteisessä mielessä, sillä hän ei seurannut jumaluuden polkua tai omistautumista tietylle jumaluudelle. Sen sijaan Saint Rexi oli vertaansa vailla oleva taito ja urheus soturi, jota ihmiset kunnioittivat suojelijana ja suojelijana.|Este machado não pertence a um santo no sentido tradicional, pois ele não seguiu o caminho da divindade ou devoção a uma entidade específica, em vez disso, St. Rexi foi um guerreiro de poder e valor inigualável, reverenciado pelo povo como um guardião e protetor.|Этот топор не принадлежит святому в традиционном смысле этого слова, поскольку он не следовал по пути божественности или преданности какому-то определенному божеству. Вместо этого святой Рекси был воином с непревзойденным мастерством и доблестью, почитаемым народом как хранитель и защитник.|這把斧頭並非傳統意義上的聖人所有，因為他並未追隨神聖之道，也未虔誠奉獻於特定神明。相反地，聖雷克西是一位技藝精湛、勇猛無比的戰士，被人們尊崇為守護者與庇護者。  |この斧は伝統的な意味での聖人のものではない。彼は神への道を歩むことも、特定の神に献身することもなかったからだ。聖レキシは比類なき技と勇敢さを持つ戦士であり、人々から守護者として崇められていた。|이 도끼는 전통적인 의미의 성자에게 속한 것이 아니다. 그는 신성의 길이나 특정 신에 대한 헌신을 따르지 않았다. 대신, 세인트 렉시는 뛰어난 무예와 용맹으로 사람들에게 수호자이자 보호자로서 존경받은 전사였다.|Diese Axt gehört keinem Heiligen im traditionellen Sinne, denn er folgte weder dem Pfad der Göttlichkeit noch der Hingabe an eine bestimmte Gottheit. Stattdessen war der Heilige Rexi ein Krieger von beispiellosem Können und Mut, der vom Volk als Wächter und Beschützer verehrt wurde.|Cette hache n'appartient pas à un saint au sens strict du terme, car il n'a pas suivi la voie de la divinité ou de la dévotion à une divinité particulière. Au contraire, Saint Rexi était un guerrier d'une habileté et d'une bravoure inégalées, vénéré par le peuple comme un gardien et un protecteur.|Este hacha no pertenece a un santo en el sentido tradicional, pues no siguió el camino de la divinidad ni la devoción a una deidad particular. En cambio, San Rexi fue un guerrero de habilidad y valor inigualables, venerado por el pueblo como un guardián y protector.|Ten topór nie należy do świętego w tradycyjnym sensie, ponieważ nie podążał ścieżką boskości ani oddania konkretnemu bóstwu. Zamiast tego św. Rexi był wojownikiem o niezrównanej umiejętności i odwadze, czczonym przez lud jako strażnik i obrońca.
lore_w_melee_riftmasters_dirge|The mysterious wizard at the edge of the universe enchanted this blade at the expense of a black hole.|Salaperäinen velho universumin reunalla lumoi tämän terän mustan aukon kustannuksella.|O mago misterioso no limite do universo encantou esta lâmina às custas de um buraco negro.|Таинственный волшебник на краю вселенной заколдовал этот клинок за счет черной дыры.|宇宙邊緣的神秘巫師以犧牲黑洞為代價，為這把刃片附上了魔力|宇宙の果てに潜む謎の魔術師は、ブラックホールを犠牲にしてこの剣に魔法をかけた。|우주의 끝자락에 있는 신비로운 위저드는 하나의 블랙홀을 대가로 이 검에 마법을 부여했다.|Der geheimnisvolle Zauberer am Rande des Universums verzauberte diese Klinge auf Kosten eines Schwarzen Lochs.|Le mystérieux magicien des confins de l'univers a enchanté cette lame aux abords d'un trou noir.|El misterioso hechicero en el borde del universo encantó esta hoja a costa de un agujero negro.|Tajemniczy czarodziej na skraju wszechświata zaczarował to ostrze kosztem czarnej dziury.
lore_w_melee_sung_lees_destroyer_flail|Brutal weapon of the warlord Sung Lee to bring carnage and death to anyone on it's path.|Sotapäällikkö Sung Leen julma ase tuoda verilöyly ja kuolema kenelle tahansa tiellä.|Arma brutal do mestre de guerra Sung Lee para trazer carnificina e morte para qualquer um em seu caminho.|Жестокое оружие военачальника Сун Ли, несущее резню и смерть любому на своем пути.|軍閥宋·李的殘暴武器，會給任何擋路者帶來屠殺與死亡|その行く手を阻む者全てに、殺戮と死をもたらす、軍閥ソン・リーの残忍な武器。|제네럴 성 리가 휘두르던 잔혹한 무기, 그 앞을 가로막는 모든 이에게 학살과 죽음을 안겨주었다.|Die brutale Waffe des Kriegsherrn Sung Lee brachte jedem, der ihr im Weg stand, Blut und Tod.|L'arme brutale du seigneur de guerre Sung Lee, qui provoque le carnage et la mort de tous ceux qui se trouvent sur son chemin.|Arma brutal del señor de la guerra Sung Lee para traer masacre y muerte a cualquiera en su camino.|Brutalna broń władcy wojny Sung Lee, niosąca rzeź i śmierć każdemu, kto stanie na jej drodze.
lore_w_melee_light_of_dawn|As the first light of dawn fills the vision of a hero after a night of terror, hope fills his heart as he presses on.|Kun aamunkoiton ensimmäinen valo täyttää näyn sankarista kauhun yön jälkeen, toivo täyttää hänen sydämensä, kun hän painaa eteenpäin.|Enquanto a primeira luz do amanhecer preenche a visão de um herói após uma noite de terror, a esperança preenche seu coração enquanto ele segue em frente.|Когда первые лучи рассвета озаряют образ героя после ужасной ночи, надежда наполняет его сердце, когда он идет дальше.|當經歷恐怖之夜後的黎明第一縷曙光照亮了英雄的視野，促使希望充盈著他的內心，繼續前行  |恐怖の夜を過ごした英雄の視界に夜明けの光が差し込む時、希望が彼の心を満たし、彼は歩みを進める。|공포의 밤을 지나 새벽 첫 빛이 영웅의 시야를 가득 채우자, 그는 희망으로 가슴을 채우고 앞으로 나아간다.|Als das erste Licht der Morgendämmerung die Vision eines Helden nach einer Nacht des Schreckens erfüllt, erfüllt Hoffnung sein Herz, während er weitermacht.|Alors que les premières lueurs de l'aube éclairent la silhouette d'un héros après une nuit de terreur, l'espoir emplit son cœur et il poursuit sa route.|Mientras la primera luz del alba llena la visión de un héroe tras una noche de terror, la esperanza llena su corazón mientras sigue adelante.|Gdy pierwsze światło świtu wypełnia wizję bohatera po nocy terroru, nadzieja wypełnia jego serce, gdy rusza dalej.
lore_w_melee_st_gabriels_retribution|Beware those who follow the path of the wicked and sin, as the punishment is coming from above.|Varo niitä, jotka seuraavat jumalattomien ja synnin polkua, sillä rangaistus tulee ylhäältä.|Cuidado com aqueles que seguem o caminho da maldade e pecado, pois a punição virá de cima.|Остерегайтесь тех, кто следует путем нечестивых и грешит, поскольку наказание приходит свыше.|提防那些踏上邪惡與罪惡之路的人，因為懲罰終將從天而降|タレシエルの最高の剣士の武器庫は、ダミアン包囲戦の際に彼らと共に埋葬されたと伝えられている。|악과 죄의 길을 따르는 자들이여 경계하라, 위로부터 심판이 내려올 것이다.|Hütet euch vor denen, die dem Pfad der Sünde folgen, denn die Strafe kommt von oben.|Gare à ceux qui suivent le chemin des impies et des pécheurs, car le châtiment vient d'en haut.|Cuidado con aquellos que siguen el camino de los malvados y el pecado, pues el castigo viene de lo alto.|Strzeżcie się tych, którzy podążają ścieżką niegodziwości i grzechu, ponieważ kara nadchodzi z góry.
lore_w_melee_bonettis_rapier|Tarethiel's finest swordsman's arsenal is believed to be buried with them during the siege of Damien.|Tarethielin hienoimman miekkamiesarsenaalin uskotaan haudatun heidän kanssaan Damienin piirityksen aikana.|Acredita-se que o arsenal dos melhores espadachins de Tarethiel esteja enterrado com eles durante o cerco de Damien.|Считается, что арсенал лучшего фехтовальщика Таретиэля был похоронен вместе с ними во время осады Дамиена.|據說，塔雷希爾最精銳劍士的武器在達米安圍城戰期間與他們一同埋葬|邪悪な道を歩み、罪を犯す者には用心せよ。罰は天から下る。|데미언 공성전 당시, 타레시엘 최고의 검객의 무구가 그들과 함께 묻힌 것으로 전해진다.|Man glaubt, Tarethiels bestes Schwertarsenal sei während der Belagerung von Damien mit ihnen begraben worden.|On pense que le meilleur équipement des plus grands épéistes de Tarethiel a été enterré avec eux lors du siège de Damien.|Se cree que el arsenal de los mejores espadachines de Tarethiel fue enterrado con ellos durante el asedio de Damien.|Najlepszy arsenał mieczników Tarethiela uważa się za pochowany wraz z nimi podczas oblężenia Damiena.
lore_w_melee_grimbones_scythe|A grim death awaits the victims of this scythe, as it reaps the soul from the corpse.|Tämän viikateen uhreja odottaa synkkä kuolema, kun se korjaa sielun ruumiista.|Uma morte sombria aguarda as vítimas desta foice, enquanto colhe a alma de seus cadáveres.|Жертв этой косы ждет суровая смерть, поскольку она извлекает душу из трупа.|這把巨鐮的受害者將面臨殘酷的死亡，因為它會從屍體中收割靈魂|この鎌は死体から魂を刈り取り、その犠牲者には悲惨な死が待ち受けている。|이 낫의 희생자에게는 음울한 죽음이 기다리고 있다. 낫은 시체에서 영혼을 거둬간다.|Ein grausamer Tod erwartet die Opfer dieser Sense, denn sie reißt die Seele aus der Leiche.|Un sombre destin attend les victimes de cette faux, car elle arrache l'âme du défunt.|Una muerte sombría aguarda a las víctimas de esta guadaña, pues siega el alma del cadáver.|Ponura śmierć czeka ofiary tej kosy, ponieważ zbiera duszę z trupa.
