[main_menu]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
local_play|Play local|Paikallinen peli|Jogo Local|Играть локально|單機遊戲|ローカルプレイ|로컬 플레이|Lokal spielen|Partie locale
season_supporter_explanation|Only available during the current Season|Saatavilla vain tämän kauden ajan|Disponível apenas durante a temporada atual.|Доступно только в текущем сезоне|僅在當前賽季可用|所有数: [token_count]|현재 시즌 동안만 이용 가능|Nur während der aktuellen Saison verfügbar|Disponible uniquement pendant la saison en cours
season_supporter_hint|You have: [token_count]|Sinulla on: [token_count]|Você tem: [token_count]|У вас есть: [token_count]|你擁有：[token_count]|所有しているトークンのみ表示|가지고 있는 것: [token_count]|Sie haben: [token_count]|Vous avez : [token_count]
show_owned|Show only owned|Näytä vain omistetut|Mostrar obtidos|Показать только принадлежащие|顯示已擁有|ロックされているトークンを表示|소유한 것만 표시|Nur im Besitz anzeigen|Afficher uniquement les éléments possédés
show_locked|Show locked|Näytä lukitut|Mostrar bloqueados|Показать заблокированные|顯示已鎖定|すべて表示|잠긴 것만 표시|Gesperrt anzeigen|Afficher les éléments verrouillés
show_all|Show all|Näytä kaikki|Mostrar todos|Показать все|顯示所有增強|すべてのスキンを表示|모두 표시|Alle anzeigen|Afficher tout
show_all_skins|Show all skins|Näytä kaikki ulkonäöt|Mostrar todas as skins|Показать все скины|顯示所有皮膚|翼|모든 스킨 표시|Alle Skins anzeigen|Afficher tous les skins
wings|Wings|Siivet|Asas|Крылья|翅膀|バック アクセサリ|날개|Flügel|Ailes
back_accessories|Back Accessories|Selkätarvikkeet|Acessórios Traseiros|Аксессуары для спины|背部配件|ゴールド トークンを購入|등 액세서리|Rückenzubehör|Accessoires de dos
buy_gold_token|Buy Gold Token|Osta kultapoletti|Comprar Token de Ouro|Купить золотой жетон|購買Gold Token|ゴールド トークンを購入しますか?|골드 토큰 구매|Goldtoken kaufen|Acheter un jeton d'or
buy_gold_token_long|Would you like to buy a Gold Token for|Haluaisitko ostaa kultapoletin|Você gostaria de comprar um Token de Ouro por|Хотите купить золотой жетон за|您想購買一個Gold Token嗎？|ゴールド トークン|골드 토큰을 다음 가격으로 구매하시겠습니까?|Möchten Sie einen Goldtoken für|Souhaitez-vous acheter un jeton d'or pour
gold_token|Gold Token|Kultapoletti|Token de Ouro|Золотой жетон|Gold Token|ポートレート|골드 토큰|Goldtoken kaufen?|Jeton d'or
season_reward_effect|Player Effect|Pelaajaefekti|Efeito de Jogador|Эффект игрока|玩家效果|プレイヤー エフェクト|플레이어 효과|Spielereffekt|Effet du joueur|Efecto de Jugador
season_reward_portal|Portal Skin|Portaaliulkonäkö|Skin de Portal|Облик портала|傳送門造型|ポータル スキン|포탈 스킨|Portal-Skin|Skin de portail|Aspecto de Portal
season_reward_back|Back Accessory|Selkävaruste|Acessório Traseiro|Аксессуар для спины|背部配件|バック アクセサリ|등 액세서리|Rückenzubehör|Accessoire de dos|Accesorio de Espalda
cursor|Cursor|Kursori|Cursor|Курсор|鼠標|カーソル|커서|Cursor|Curseur|Cursor
subscribe|Subscribe|Tilaa|Inscrever-se|Подписаться|訂閱|購読|구독|Abonnieren|S'abonner|Suscribirse
accessory|Accessory|Lisävaruste|Acessório|Аксессуар|配件|アクセサリ|액세서리|Zubehör|Accessoire|Accesorio
effect|Effect|Efekti|Efeito|Эффект|效果|エフェクト|효과|Effekt|Effet|Efecto
trail|Trail|Jälki||След |足跡 |トレイル |트레일|Spur |Trail |Rastro
buy_multiple|Buy Multiple|Osta monta|||購買多個|複数購入|다중 구매|||Comprar Múltiples
weapon_skin|Weapon Skin|Aseen ulkonäkö|||武器造型|武器スキン|무기 스킨|||Aspecto de Arma
shield_skin|Shield Skin|Kilven ulkonäkö|||盾牌造型|盾スキン|쉴드 스킨|||Aspecto de Escudo
death_effect|Death Effect||||怪物死亡效果||||
spell_effects|Spell Effects||||法術造型||||
skin_effects|Skin Effects|||Эффекты кожи|外觀特效||스킨 이펙트|||Efectos de Aspectos|
|||||||||||
[ingame]|||||||||||
stun_duration|Stun Duration|Tainnutuksen kesto|Duração do Atordoamento|Продолжительность оглушения|暈眩持續時間|プロク・チャンス|스턴 시간|Betäubungsdauer|Durée de l'étourdissement
proc_chance|Proc Chance|Iskumahdollisuus|Chance de Proc|Шанс срабатывания|觸發機率|時間|프록 기회|Auslösechance|Chance de déclenchement
duration|Duration|Kesto|Duração|Продолжительность|持續時間|秒|지속시간|Dauer|Durée
seconds|Seconds|Sekuntia|Segundos|Секунды|秒|秒|초|Sekunden|Secondes
second|Second|Sekunti|Segundo|Второй|秒|オーラ|초|Sekunde|Seconde
aura|Aura|Aura|Aura|Аура|光環|遅い期間|오라|Aura|Aura
slow_duration|Slow Duration|Hidastuksen kesto|Duração Lenta|Длительность|減速持續時間|吸収|슬로우 지속시간|Verlangsamungsdauer|Durée du ralentissement
absorption|Absorption|Imeytyminen|Absorção|Поглощение|吸收|攻撃スキル|흡수|Absorption|Absorption
offensive_skills|Offensive Abilities|Hyökkäystaidot|Habilidades Ofensivas|Наступательные способности|攻擊能力|防御スキル|공격 어빌리티|Offensive Fähigkeiten|Capacités offensives
defensive_skills|Defensive Abilities|Puolustustaidot|Habilidades Defensivas|Оборонительные способности|防禦能力|魔法スキル|방어 어빌리티|Defensive Fähigkeiten|Capacités défensives
magic_skills|Magic Abilities|Taikataidot|Habilidades Mágicas|Магические способности|魔法能力|取引承認|마법 어빌리티|Magische Fähigkeiten|Capacités magiques
accept_trade|Trade Accepted|Vaihto hyväksytty|Troca Aceita|Торговля принята|接受交易|目録を開く|거래 수락|Tausch akzeptiert|Échange accepté
open_inventory|Open Inventory|Avaa reppu|Abrir Inventário|Открыть инвентарь|打開背包|同意|인벤토리 열기|Inventar Öffnen|Ouvrir l'inventaire
agree|Agree|Hyväksy|Concordo|Соглашаться|同意|閉じる|동의하기|Zustimmen|Valider
close|Close|Sulje|Fechar|Закрывать|關閉|追加ストレングス|닫기|Schließen|Fermer
extra_strength|Extra Strength|Lisävoimaa|Força Extra|Дополнительная сила|额外的力量|追加エナジー|여분의 힘|Extra-Stärke|Force supplémentaire
extra_energy|Extra Energy|Lisäenergiaa|Energia Extra|Дополнительная энергия|额外的能量|追加アーマー|여분의 에너지|Extra-Energie|Énergie supplémentaire
extra_armor|Extra Armor|Lisäsuojaa|Armadura Extra|Дополнительная броня|额外的護甲|追加スタミナ|여분의 방어력|Extra-Rüstung|Armure supplémentaire
extra_stamina|Extra Stamina|Lisäelämää|Estamina Extra|Дополнительная выносливость|额外的耐力|治癒|여분의 스태미나|Extra-Durchhaltevermögen|Endurance supplémentaire
healing|Healing|Parannus|Cura|Выздоровление|治癒|魔法耐性|힐링|Heilung|Guérison
magic_resistance|Arcane Resistance|Taika-vastustus|Resistência Arcana|Сопротивление тайной магии|奧術抗性|物理耐性|아케인 저항|Magischer Widerstand|Résistance magique
physical_resistance|Physical Resistance|Fyysinen vastustus|Resistência Física|Физическое сопротивление|物理抗性|手渡されました|물리 저항|Physischer Widerstand|Résistance physique
handed|Handed|Kätinen|Mão|Вручил|[1單手 2雙手]|買い戻し|장비함|Händig|main(s)
buyback|Buyback|Takaisinosto|Recomprar|Выкупить|買回|スタック|되사기|Rückkauf|Rachat
stacks|Stacks|Pinoa|Acúmulos|Стеки|疊加|装備|스택|Stapel|Cumul(s)
loadouts|Loadouts|Varustukset|Loadouts|Выгрузки|裝備欄|宝石ポーチ|로드 아웃|Ausrüstungen|Chargements
gem_pouch|Gem Pouch|Riimupussi|Bolsa de Gemas|Мешочек с драгоценными камнями|寶石袋|シードポーチ|젬 파우치|Edelsteintasche|Pochette de gemmes
seed_pouch|Seed Pouch|Siemenpussi|Bolsa de Sementes|Мешочек для семян|種子袋|キーリング|씨앗 파우치|Samentasche|Pochette de graines
key_ring|Key Ring|Avainnippu|Chaveiro|Брелок для ключей|鑰匙圈|消耗品 |키 링|Schlüsselanhänger|Porte-clés
consumable|Consumable|Käytettävät|Consumível|Расходный материал|消耗品 |ルーン|소모품|Verbrauchsgegenstand |Consommable
rune|Rune|Riimu|Runa|Руна|符文|傭兵|룬|Rune|Rune
minion_inventory|Mercenary|Palkkasoturi|Mercenário|Наемник|雇傭兵佣兵|話す|용병|Söldner|Mercenaire
speak|Speak|Puhu|Falar|Говорить|對話|売る|말하기|Sprechen|Parler
sell|Sell|Myy|Vender|Продать|出售|すべて売却|팔기|Verkaufen|Vendre
sell_all|Sell All|Myy kaikki|Vender Tudo|Продать все|全部出售|拾い読み|전부 팔기|Alles verkaufen|Tout vendre
browse|Browse|Selaa|Procurar|Просматривать|瀏覽|詳しく調べる|장비 보기|Stöbern|Parcourir
inspect|Inspect|Tutki|Inspecionar|Осмотреть|查看詳細屬性|落とす|비교|Inspizieren|Inspecter
drop|Drop|Pudota|Dropar|Уронить|丟棄|装備|떨어뜨리기|Droppen|Jeter
equip|Equip|Pue|Equipar|Оборудовать|裝備|しまう|장착|Ausrüsten|Équiper
stash|Stash|Pankki|Armazém|Тайник|倉庫|ギルドスタッシュ |보관함|Truhe|Coffre
guild_stash|Guild Stash|Kiltapankki|Armazém da Guilda|Тайник гильдии|公會倉庫 |血の契約の保管庫|길드 보관함|Gildenversteck |Coffre de guilde
blood_pact_stash|Blood Pact Stash|Verivalapankki||||血契倉庫|블러드 팩트 보관함||
retrieve|Retrieve|Palauta|Resgatar |Забрать|取回|インベントリー|꺼내기|Zurückholen|Récupérer
inventory|Inventory|Reppu|Inventario|Инвентарь|背包|クエスト|인벤토리|Inventar|Inventaire
quests|Quests|Tehtävät|Quests|Квесты|任務|クエストを受ける|퀘스트|Quests|Quêtes
ether_quests|Ether Quests|||Эфирные квесты|乙太任務||에테르 퀘스트|||Misiones de Éter|
accept_quest|Accept Quest|Hyväksy tehtävä|Aceitar Quest|Принять квест|接受任務|クエストに戻る|퀘스트 수락|Quest annehmen|Accepter une quête
return_quest|Return Quest|Palauta tehtävä|Retornar Quest|Вернуть квест|回覆任務|クエストを削除|퀘스트 반납|Quest abgeben|Rendre la quête
return_quest_to|Return to||||回覆|クエストを削除||||Entregar Misión
delete_quest|Delete quest|Poista tehtävä|Apagar Quest|Удалить квест|刪除任務|クエスト完了！|퀘스트 삭제|Quest löschen|Supprimer la quête
quest_completed|Quest completed!|Tehtävä suoritettu!|Quest completada!|Квест завершен!|任務完成！|破壊する|퀘스트 완료!|Quest abgeschlossen!|Quête terminée !
destroy|Destroy|Tuhoa|Destruir|Разрушать|銷毀|アップグレード|파괴|Zerstören|Détruire
upgrade|Upgrade|Päivitä|Melhorar|Обновление|升級|装備を取り去る|업그레이드|Aufrüsten|Améliorer
unequip|Unequip|Riisu|Desequipar|Снять экипировку|卸下||해제|Ablegen|Déséquiper
show_sockets|Show sockets|Näytä paikat|Mostrar engastes|Показать гнезда|顯示鑲孔|ソケットを非表示 |소켓 표시|Sockel anzeigen|Afficher les emplacements
hide_sockets|Hide sockets|Piilota paikat|Esconder engastes|Скрыть гнезда|隱藏鑲孔 |ソケットの削除|소켓 숨기기|Sockel verstecken|Masquer les emplacements
clear_socket|Clear Socket|Tyhjennä paikka|Limpar Engaste|Прозрачные гнезда|清除鑲孔|このアイテムのソケットをクリアしますか？|소켓 클리어|Sockel entfernen|Vider les emplacements
clear_socket_prompt|Are you sure you want to clear sockets from this item?|Oletko varma että haluat tyhjentää tämän esineen paikat?|Tem certeza que deseja limpar os engastes deste item?|Вы уверены, что хотите очистить гнезда от этого предмета?|你確定要從這件物品上清除鑲孔嗎?|場所|정말로 이 아이템의 소켓을 지우시겠습니까?|Bist du sicher, dass du die Sockel für diesen Gegenstand entfernen willst?|Êtes-vous sûr de vouloir supprimer tous les objets contenus dans ces emplacements ?
