[quest]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
|||||||||||
[TUTORIAL]|||||||||||
quest_name_1|Skills and Stats||Habilidades e Atributos| Навыки и статистика|技能和屬性|スキルとステータス|스킬과 능력치||
quest_description_110|Take this snoring skull back to Town of Inoya and hang it somewhere.|Vie kuorsaava kallo Inoyan kylään ja ripusta se jonnekin.|Leve esse crânio roncador de volta para a Cidade de Inoya e pendure-o em algum lugar.| Отвезите этот храпящий череп обратно в город Иноя и повесьте его где-нибудь.|把這個打鼾的頭骨帶回伊諾亞鎮，掛在某個地方。|このいびきを かく頭蓋骨をイ ノヤの町に戻し、 どこかに掛 けてください。|이 코골이 두개골을 이노야 마을로 가져가 어딘가에 매달아라.|Bring diesen Schnarchschaedel zurueck zur Stadt von Inoya und haeng ihn irgendwo auf.|Ramenez ce crâne ronfleur à la ville d'Inoya et accrochez-le quelque part.
quest_objective_110_1|Skull hanged|Kallo ripustettu.|Caveira enforcada| Череп повешенный|骷髏吊死。|頭蓋骨が絞首刑に。|해골 교수형|Schaedel aufgehaengt.|Crâne suspendu
quest_name_111|Hanging Straight|Roiku suorassa|Pendurado Reto| Висит прямо|直吊|まっすぐぶら下げ|똑바로 매달기|Gerade gehaengt|Se tenir bien droit
quest_description_111|Find the skeleton's spine and pelvis from any Ancient Skeleton.|Löydä luurangon selkäranka ja lantio miltä tahansa pomolta.|Encontre a coluna e a pélvis do esqueleto de qualquer chefe.| Найдите позвоночник и таз любого древнего скелета.|從任何古代骷髏中找到骷髏的脊柱和骨盆。|ボスからスケル トンの脊椎と骨 盤を見つけます。|고대 해골에게서 척추와 골반을 찾으십시오.|Finde das Rueckgrat und Becken von jedem Boss.|Trouvez la colonne vertébrale et le bassin du squelette sur n'importe quel boss.
quest_objective_111_1|Spine found|Selkäranka löydetty.|Coluna encontrada.| Найден позвоночник|發現脊椎。|脊椎が見つかりました。|척추 발견|Vollstaendige Wirbelsaeule gefunden.|Colonne vertébrale trouvée
quest_name_112|Main Hand|Oikea käsi|Mão Principal| Основная рука|主手|利き手|메인 손|Die Rechte Hand|Première main
quest_description_112|Collect the skeleton's right hand from any Ancient Skeleton.|Löydä luurangon oikea käsi miltä tahansa pomolta.|Colete a mão direita do esqueleto de qualquer chefe.|Заберите правую руку скелета у любого древнего скелета.|從任何遠古骷髏中收集骷髏的右手。|ボスからスケルト ンの右手を集める。|고대 해골에게서 해골의 오른손을 모으십시오.|Sammle die rechte Hand von jedem Boss.|Récupérez la main droite du squelette sur n'importe quel boss.
quest_objective_112_1|Hand found|Käsi löydetty.|Mão encontrada.| Найден вручную|找到手。|手が見つかりました。|손 발견|Rechte Hand gefunden.|Main trouvée
quest_name_113|Secondary Hand|Vasen käsi|Mão Secundária| Вторичная рука|次要手|セカンダリーハンド|세컨드 손|Die Linke Hand|Seconde main
quest_description_113|Collect the skeleton's left hand from any Ancient Skeleton.|Löydä luurangon vasen käsi miltä tahansa pomolta.|Colete a mão esquerda do esqueleto de qualquer chefe.| Заберите левую руку скелета у любого древнего скелета.|從任何遠古骷髏中收集骷髏的左手。|ボスからスケルト ンの左手を集めてください。|고대 해골에게서 해골의 왼손을 수집하십시오.|Sammle die linke Hand von jedem Boss.|Récupérez la main gauche du squelette sur n'importe quel boss.
quest_objective_113_1|Hand found|Käsi löydetty.|Mão encontrada.| Найден вручную|找到手。|手が見つかりました。|손 발견|Linke Hand gefunden.|Main trouvée
quest_name_114|Footwork|Jalkatyötä|Trabalho de Pés| Футворк|步法|フットワーク|발놀림|Fussarbeit|Jeu de jambes
quest_description_114|Collect the skeleton's right foot from any Ancient Skeleton.|Löydä luurangon oikea jalka miltä tahansa pomolta.|Colete o pé direito do esqueleto de qualquer chefe.| Возьмите правую ногу скелета из любого древнего скелета.|從任何遠古骷髏中收集骷髏的右腳。|ボスからスケルト ンの右足を集めます。|고대 해골에게서 해골의 오른발을 모으십시오.|Sammle den rechten Fuss von jedem Boss.|Récupérez le pied droit du squelette sur n'importe quel boss.
quest_objective_114_1|Leg found|Jalka löydetty.|Perna encontrada.| Нога найдена|找到腿。|足が見つかりました。|다리 발견|Rechten Fuss gefunden.|Pied trouvé
quest_name_115|Happy Feet|Iloiset jalat|Pés Felizes| Счастливые ноги|快樂腳|ハッピーフィート|행복한 발걸음|Glueckliche Fuesse|Se lever du bon pied
quest_description_115|Collect the skeleton's left foot from any Ancient Skeleton.|Löydä luurangon vasen jalka miltä tahansa pomolta.|Colete o pé esquerdo do esqueleto de qualquer chefe.| Возьмите левую ногу скелета из любого древнего скелета.|從任何遠古骷髏中收集骷髏的左腳。|ボスからスケルト ンの左足を集めます。|고대 해골에게서 해골의 왼발을 모으십시오.|Sammle den linken Fuss von jedem Boss.|Récupérez le pied gauche du squelette sur n'importe quel boss.
quest_objective_115_1|Leg found|Jalka löydetty.|Perna encontrada.| Нога найдена|找到腿。|足が見つかりました。|다리 발견|Linken Fuss gefunden.|Pied trouvé
||||||||||||
[Halloween dailies]||||||||||||
quest_name_120|Fill the Pot|Pata täyteen|Encha a Panela| Наполни горшок|加滿鍋|ポットを埋める|냄비를 채우십시오|Fülle den Topf|Un pot bien rempli
quest_description_120|Collect ingredients in Act I.|Kerää aineksia tasossa I.|Colete ingredientes no ATO I.| Соберите ингредиенты в Акте I.|在第一章中收集成分。|幕 Iで成分を収集します。|Act I에서 재료를 수집하십시오.|Sammle Zutaten in Akt I.|Collecter les ingrédients dans l'Acte I.
quest_objective_120_1|Spider legs|Hämähäkin jalat|Pernas de aranha| Паучьи ноги|蜘蛛腿|クモの足|거미 다리|Spinnenbeine|Pattes d'araignée
quest_objective_120_2|Maggot's slime|Tuokan lima|Gosma de larva| Слизь личинки|蛆黏液|ウジのスライム|구더기 점액|Madenschleim|Bave d'asticot
quest_objective_120_3|Pumpkin juice|Kurpitsamehu|Suco de abóbora| Тыквенный сок|南瓜汁|かぼちゃジュース|호박 쥬스|Kürbissaft|Jus de citrouille
quest_objective_120_4|Rat ears|Rotan korvat|Orelhas de rato| Крысиные уши|老鼠耳朵|ラットの耳|쥐 귀|Rattenohren|Oreilles de rat
quest_name_121|Kill Gurag|Surmaa Gurag|Mate Gurag| Убить Гурага|殺死古拉格|グラグを殺す|구라그 처치|Töte Gurag|Tuer Gurag
quest_description_121|Collect Gurag's spirit by using the Soul Box.|Kerää Guragin sielu Sielulaatikon avulla.|Colete o espírito de Gurag usando a Caixa da Alma.| Соберите дух Гурага, используя Ящик Души.|使用靈魂盒子收集古拉格的靈魂。|ソウルボックス を使用して、 グラッグの精神 を収集します。|영혼 상자 유물을 사용하여 구라그의 영혼을 모으십시오.|Sammle Gurags Geist mit der Seelenbox.|Récupérez l'esprit de Gurag en utilisant la boîte à âme.
quest_objective_121_1|Gurag's spirit|Guragin sielu|Espírito de Gurag| Дух Гурага|古拉格的靈魂|グラッグの精神|구라그의 영혼|Gurags Geist|Esprit de Gurag
quest_name_122|Feather party!|Höyhenjuhlat!|Festa de penas!| Перьевая вечеринка!|羽毛派對！|フェザーパーティ！|깃털 파티!|Federparty!|Fête des plumes !
quest_description_122|Find chickens in Act II and collect their feathers.|Löydä kanoja tasosta II ja kerää niiden höyheniä.|Encontre galinhas no ATO II e colete suas penas.| Найдите кур во втором акте и соберите их перья.|在第二章中找到雞並收集羽毛。|幕 IIでニワトリを見つけ、羽を集めます。|Act II에서 닭을 찾아서 깃털을 모으십시오.|Finde Hühner in Akt II und sammle ihre Federn ein.|Trouvez des poulets dans l'Acte II et ramassez leurs plumes.
quest_objective_122_1|Feathers|Höyheniä|Penas| Перья|羽毛|羽毛|깃털|Gefieder|Plumes
quest_name_123|Embarrass Death|Nöyryytä Kuolemaa|Morte Constrangida| Смутить Смерть|尴尬死亡|恥ずかしい死|난처한 죽음|Peinlicher Tod|Embarrasser la Mort
quest_description_123|During the fight throw the chicken mask at the Grim Reaper and kill him.|Tappelun aikana, heitä Kananaamari Viikatemiestä päin ja surmaa hänet.|Durante a luta, jogue a máscara de galinha no Ceifador e mate-o.| Во время боя бросьте куриную маску в Мрачного Жнеца и убейте его.|在戰鬥中將雞面具丟向死神,並殺死他。|戦いの最中に、 死神にチキ ンマスクを 投げて殺し てください。|전투 중에 사신에게 치킨 마스크를 던져 죽입니다.|Während des Kampfes wirf die Hühnermaske auf Sensenmann und töte ihn.|Pendant le combat, lancez le masque de poulet sur la Faucheuse et tuez-la.
quest_objective_123_1|Death embarrassed|Kuolema nöyryytetty|Morte envergonhada| Смерть смущенная|死亡尴尬|死神は恥ずかしい|부끄러운 죽음|Der Tod ist verlegen|Mort embarrassée
quest_name_124|Gathering ingredients|Kerää aineksia|Recolhendo ingredientes| Сбор ингредиентов|收集成分|材料を集める|재료 수집|Zutaten sammeln|Collecte d'ingrédients
quest_description_124|Collect the following ingredients in Act III.|Kerää seuraavat ainekset tasosta III.|Colete os seguintes ingredientes no ATO III.| Соберите следующие ингредиенты в третьем акте.|在第三章中收集以下成分。|幕 IIIで次の成分を収集します。|Act III에서 다음 재료를 수집하십시오.|Sammeln Sie die folgenden Zutaten in Akt III.|Récupérez les ingrédients suivants dans l'Acte III.
quest_objective_124_1|Ghost skulls|Haamukallot|Caveiras fantasmas| Призрачные черепа|幽靈顱骨|ゴーストスカル|유령 두개골|Geisterschädel|Crânes de fantômes
quest_objective_124_2|Dust feeder teeth|Tomunsyöjän hampaat|Dentes do alimentador de poeira| Зубья пылеуловителя|廢品動物牙齒|ダストフィーダー歯|먼지 피더 이빨|Staubzufuhrzähne|Dents de cracheur de poussière
quest_objective_124_3|Mummy bandages|Muumion siteet|Curativos de múmia| Мумия бинты|木乃伊繃帶|ミイラ包帯|미라 붕대|Mumienbinden|Bandages de momie
quest_objective_124_4|Spellbook|Loitsukirja|Livro de feitiços| Книга заклинаний|法術書|魔法書|마법서|Zauberbuch|Livre de sorts
quest_name_125|Anubis' Own Medicine|Anubiksen omaa lääkettä|Remédio Próprio de Anubis| Собственное лекарство Анубиса|阿努比斯自己的藥|アヌビス自身の薬|아누비스의 약|Anubis 'eigene Medizin|Remède personnel d'Anubis
quest_description_125|Curse Anubis with the Cursed Book.|Viimeistele Anubis Kirotulla Kirjalla.|Finalize Anubis com o Livro Amaldiçoado.| Прокляните Анубиса с помощью Проклятой книги.|用 《被詛咒的書》 詛咒阿努比斯。|呪われた本でア ヌビスを締めく くってください。|저주받은 책으로 아누비스를 마무리하십시오.|Beende Anubis mit dem verfluchten Buch.|Achevez Anubis avec le Livre maudit.
quest_objective_125_1|Anubis cursed|Anubis surmattu|Anúbis morto| Анубис проклял|詛咒阿努比斯|アヌビス殺害|아누비스|Anubis getötet|Anubis tué
quest_name_126|Suck it!|Imuroi!|Chupe!| Отсоси!|吸！|吸いなさい！|빨아들여!|Saugen Sie es!|Aspirez ça !
