[npc]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
afsin|Welcome! I am Afsin, the eldest warrior of Mos'Arathim. We are in need of your strength!|Tervehdys! Minä olen Afsin, Mos'Arathimin vanhin soturi. Tarvitsemme kipeästi voimiasi!|Saudações! Eu sou Afsin, o guerreiro mais velho de Mos’Arathim. Estamos precisando de sua força!| Добро пожаловать! Я Афсин.|歡迎！ 我是Afsin,莫斯阿拉辛村最年長的戰士. 我們需要你的力量！|やあ！ 私はアフシン、 モスアラシム最年長の戦士。 あなたの力が必要だ！|안녕하십니까! 저는 모스’아라팀의 가장 오래된 전사인 아프신입니다. 당신의 힘이 필요합니다!|Grüße! Ich bin Afsin, der älteste Krieger von Mos‘Arathim. Wir benötigen deine Stärke!|Bienvenue à tous ! Je suis [c_lime]Afsin[c_reset], l'aîné des guerriers du [c_aqua]Village de Mos'Arathim[c_reset]. Nous avons besoin de votre force !|¡Te doy la bienvenida! Soy Afsin, el guerrero más anciano de Mos'Arathim. ¡Necesitamos tu fuerza!|Witaj! Jestem Afsin, najstarszy wojownik Mos'Arathim. Potrzebujemy twojej siły!
kodatin|Greetings stranger! Welcome to Dhorn Farum! You may call me Kodatin.|Tervehdys muukalainen! Tervetuloa Dhorn Farumiin! Voit kutsua minua Kodatiniksi.|Saudações estranho! Bem-vindo a Dhorn Farum! Você pode me chamar de Kodatin.| Приветствую тебя, незнакомец! Добро пожаловать в Дорн Фарум! Можешь называть меня Кодатин.|你好啊陌生人! 歡迎來到迪霍法洛姆! 你可以叫我Kodatin. |こんにちは！ようこそ、ドーン･ファルムへ！ コダティンと呼んでください。|안녕하세요, 이방인! 도른 파룸에 오신 것을 환영합니다! 난 코데이틴이라고 불러요.|Willkommen, Fremder! Willkommen in Dhorn Farum! Du kannst mich Kodatin nennen.|Bonjour, étranger ! Bienvenue à [c_aqua]Dhorn Farum[c_reset] ! Vous pouvez m'appeler [c_lime]Kodatin[c_reset].|¡Saludos, forastero! ¡Bienvenido a Dhorn Farum! Puedes llamarme Kodatin.|Pozdrowienia, nieznajomy! Witaj w Dhorn Farum! Możesz mnie nazywać Kodatin.
nobunaga|Welcome to Shujo Retreat! Its time our clan takes back the control of Karponia!|Tervetuloa Shujo Retreat! Klaanimme on aika ottaa Karponia takaisin!|Bem-vindo ao Retiro de Shujo! É hora do nosso clã retomar o controle de Karponia!| Добро пожаловать в Shujo Retreat! Пришло время нашему клану вернуть себе контроль над Карпонией!|歡迎來到修礁避難所!  現在是我們一族奪回卡普尼亞控制權的時候了! |シュジョリトリートへようこそ！ 我々一族がカルポニアの支配権を取り戻す時だ！|슈호 리트리트에 오신 것을 환영합니다! 우리 씨족이 카포니아의 지배에서 벗어날 시간입니다!|Willkommen in Shujo Retreat! Es ist an der Zeit, dass unser Clan die Kontrolle über Karponia zurückerobert!|Bienvenue à [c_aqua]Retraite de Shujo[c_reset] ! Il est temps que notre clan reprenne le contrôle de la [c_aqua]Mer de Karponia[c_reset] !|¡Bienvenido al Retiro Shujo! ¡Es hora de que nuestro clan recupere el control de Karponia!|Witaj w Shujo Retreat! Nadszedł czas, aby nasz klan odzyskał kontrolę nad Karponią!
abaddon|Hello stranger. Welcome to Dawn's Chapel, may God's grace be upon you.|Tervehdys muukalainen. Tervetuloa Aamun kappeliin, jumala sinua siunatkoon.|Olá estranho. Bem-vindo à Capela de Dawn, que a graça de Deus esteja com você.| Привет, незнакомец. Добро пожаловать в Dawn's Chapel.|你好陌生人. 歡迎來到黎明的禮拜堂, 願上帝的恩典降臨​​於你. |こんにちは。 夜明けのシャペルへようこそ、 神の恵みがあなたにありますように。|안녕하세요, 이방인.새벽의 예배당에 오신 것을 환영합니다. 하나님의 축복이 함께하시길.|Hallo Fremder. Willkommen in Dawns Chappel, möge Gottes Gnade mit dir sein.|Bonjour, étranger. Bienvenue à la [c_aqua]Chapelle de l'Aube[c_reset], que la grâce de Dieu soit sur vous.|Hola, forastero. Bienvenido a la Capilla del Alba, que la gracia de Dios sea contigo.|Cześć, nieznajomy. Witaj w Kaplicy Świtu, niech łaska Boża będzie z tobą.
kujala|Time of great despair is upon us...||Estamos em um momento de grande desespero...| Наступило время великого отчаяния...|巨大絕望的時刻即將來臨…… |深い絶望の時代が到来した…。 |크나큰 절망의 시간이 우리에게 다가오고 있습니다...|Eine Zeit großer Verzweiflung ist angebrochen...|L'heure du grand désespoir a sonné....|Tiempos de gran desesperación se ciernen sobre nosotros...|Czas wielkiej rozpaczy nadchodzi...
sarcaster_club|Hello Hero! My name is Sarcaster and I am the towns coffee addict! Would you like to join my Coffee Club?|Hei sankari! Nimeni on Sarcaster ja minä olen kylän kahviaddikti! Haluaisitko liittyä kahvikerhooni?|Olá, herói! Meu nome é Sarcaster e eu sou o viciado em café da cidade! Gostaria de se juntar ao meu Clube do Café?| Привет, Герой! Меня зовут Саркастер, и я городской кофеман! Хочешь присоединиться к моему Кофейному Клубу?|你好，英雄！我的名字是 Sarcaster，我是鎮上的咖啡迷！  你願意加入我的咖啡俱樂部嗎？ |ヒーローよ、 こんにちは！ サーカスターと申します。 この町のコーヒーマニアです！ 私のコーヒークラブに参加しますか？|안녕! 난 사캐스터라고 하고, 우리 마을의 커피 중독자야! 우리 커피 클럽에 가입할래?|Hallo Held! Mein Name ist Sarcaster und ich bin der Kaffeesüchtige der Stadt! Möchten Sie meinem Coffee Club beitreten?|Bonjour Hero ! Je m'appelle [c_lime]Sarcaster[c_reset] et je suis le professionnel du café de la ville ! Voulez-vous rejoindre le club des accros de café ?|¡Hola, héroe! Me llamo Sarcaster y soy el adicto al café del pueblo. ¿Te gustaría unirte a mi Club del Café?|Cześć, bohaterze! Nazywam się Sarcaster i jestem uzależniony od kawy w tym mieście! Czy chcesz dołączyć do mojego Klubu Kawy?
sarcaster|Hello Hero! My name is Sarcaster and I am the towns coffee addict!|Hei sankari! Nimeni on Sarcaster ja minä olen kylän kahviaddikti!|Olá, herói! Meu nome é Sarcaster e eu sou o viciado em café da cidade!| Привет, Герой! Меня зовут Саркастер, и я городской кофеман!|你好,英雄! 我是sarcaster,這個鎮上的咖啡愛好者! 你想要加入我的咖啡俱樂部嗎？ |ヒーローよ、 こんにちは！ サーカスターと申します。 この町のコーヒーマニアです！ |안녕하세요, 영웅님! 제 이름은 사캐스터예요. 저는 이 마을의 커피 중독자랍니다!|Hallo Held! Mein Name ist Sarcaster und ich bin der Kaffeesüchtige der Stadt!|Bonjour Hero ! Je m'appelle [c_lime]Sarcaster[c_reset] et je suis le professionnel du café de la ville !|¡Hola, héroe! Me llamo Sarcaster y soy el adicto al café del pueblo.|Cześć, bohaterze! Nazywam się Sarcaster i jestem uzależniony od kawy w tym mieście!
garnor|Damien's minions grow stronger every day. Use the combat dummies to maintain your speed and power!|Damienin kätyrit kasvavat voimakkaammiksi päivä päivältä. Käytä harjoitusnukkeja ylläpitääksesi voimaasi ja nopeuttasi!|Os lacaios de Damien ficam mais fortes a cada dia. Use os bonecos de combate para manter sua velocidade e poder.| Приспешники Дэмиена становятся сильнее с каждым днем. Используйте боевые манекены, чтобы поддерживать свою скорость и силу!|達米安的奴僕每天都在變強， 用這些戰鬥訓練人偶來增強你的速度和力量吧！！|ダミアン の ミニオン達 は 毎日 強く なって います。 これら の 戦闘 ダミー を 使って あなた の スピード と パワー を 維持 しましょう！|데미언의 부하들이 하루가 다르게 강해지고 있어. 저기에 있는 모형으로 훈련해봐!|Damiens Gefolgsleute werden von Tag zu Tag stärker. Benutze die Kampfpuppen, um deine Schnelligkeit und Kraft zu messen!|Les sbires de [c_red]Damien[c_reset] sont de plus en plus forts. Utilisez les mannequins de combat pour vous entrainer !|Los esbirros de Damien se fortalecen cada día. ¡Usa los muñecos de combate para mantener tu velocidad y poder!|Sługusy Damiena stają się silniejsze z każdym dniem. Używaj manekinów treningowych, aby utrzymać swoją szybkość i siłę!
join_coffee_club|Join Coffee Club.|Liity Kahvikerhoon.|Junte-se ao Clube do Café.| Присоединяйтесь к Кофейному клубу.|加入咖啡俱樂部。|コーヒークラブに参加します。|커피 클럽에 가입.|Werden Sie Mitglied im Coffee Club.|Rejoindre le club des accros de café.|Unirse al Club del Café.|Dołącz do Klubu Kawy.
jack_the_ripper|Greetings! What can I do for you?|Terve, miten voin olla avuksi?|Olá! O que posso fazer por você? | Чем я могу вам помочь сегодня?|請問我今天有什麼可以幫您？ |こんにちは！何かご用でしょうか？ |안녕하세요! 무엇을 도와드릴까요? |Grüße! Was kann ich für Sie tun?|Bonjour ! Que puis-je faire pour vous ? |¡Saludos! ¿Qué puedo hacer por usted? |Pozdrowienia! W czym mogę pomóc?
gar_nor_test_dps|Test damage per second.|Testaa vahinko per sekunti.|Testar dano por segundo.| Тестовый урон в секунду.|測試每秒造成的傷害。|1秒あたりのダメージをテストします。|초당 피해 테스트.|Testschaden pro Sekunde.|Test de dégâts par seconde.|Probar daño por segundo.|Przetestuj obrażenia na sekundę.
gar_nor_lock_exp|Lock / Unlock experience.|Lukitse / avaa kokemuspisteet.|Travar / Destravar a experiência.|Приветствую! Чем я могу вам помочь? |鎖定/解鎖經驗。|経験値をロック/ロック解除します。|경험치 잠금 / 해제.|Erfahrung sammeln sperren / entsperren.|Verrouillage / déverrouillage d'expérience.|Bloquear / Desbloquear experiencia.|Zablokuj / odblokuj doświadczenie.
um|I can show you the future if you have the key... Would you like to see?||Posso lhe mostrar o futuro se você tiver a chave... Gostaria de ver?| Я могу показать тебе будущее, если у тебя есть ключ... Хочешь увидеть?|如果你有鑰匙，我可以向你展示未來.  你想看看嗎？|鍵があれば未来をお見せできますが…ご覧になりますか？|열쇠만 있다면 너에게 미래를 보여줄 수 있어… 보고 싶나?||Je peux vous montrer l'avenir si vous avez la clé... Voulez-vous voir ?|Puedo mostrarte el futuro si tienes la llave... ¿Te gustaría verlo?|Mogę pokazać ci przyszłość, jeśli masz klucz... Chcesz zobaczyć?
dr_tinker_dink|Would you like to open a wormhole?|Haluaisitko avata madonreiän? Sinulla on|Gostaria de abrir um buraco de minhoca?| Хотите ли вы открыть червоточину?|你想開啟蟲洞嗎？ 你有|ワームホールを開きますか？あなたが持っている|웜홀을 열고 싶어?|Möchtest du ein Wurmloch öffnen? Du hast.|Voulez-vous ouvrir un vortex ?|¿Te gustaría abrir un agujero de gusano?|Czy chcesz otworzyć wormhole?
wormhole_reset|Are you sure you want to reset your wormhole level?|Oletko varma että haluat palauttaa madonreikäsi tason?|Tem certeza que quer reiniciar seu nível do buraco de minhoca?| Вы уверены, что хотите сбросить уровень червоточины?|您確定要重置您的蟲洞等級嗎？|ワームホールのレベルをリセットしてもよろしいですか？|웜홀 레벨을 초기화하시겠습니까?|Bist du sicher, dass du dein Wurmloch-Level zurücksetzen willst?|Êtes-vous sûr de vouloir réinitialiser le niveau de votre vortex ?|¿Seguro que quieres restablecer tu nivel de agujero de gusano?|Czy na pewno chcesz zresetować poziom wormhole?
relic_reset|Are you sure you want to reset your relics?|Oletko varma että haluat poistaa kaikki aarteet?|Tem certeza que quer reiniciar suas relíquias?| Вы уверены, что хотите сбросить свои реликвии?|您確定要重置您的遺物嗎？|本当にレリックをリセットしますか？|정말로 유물을 초기화하시겠습니까?|Sind Sie sicher, dass Sie Ihre Relikte zurücksetzen möchten?|Êtes-vous sûr de vouloir réinitialiser vos reliques ?|¿Seguro que quieres restablecer tus reliquias?|Czy na pewno chcesz zresetować swoje relikty?
requires_max_level_inferno|Access requires level 80+ & Inferno difficulty|Vaatii tason 80+ & Helvetti vaikeusasteen|O acesso requer nível 80+ e dificuldade Inferno|Для доступа требуется уровень 80+ и уровень сложности «Ад»|進入需要 80級以上和煉獄難度|アクセスにはレベル80以上と地獄の難易度が必要です|액세스하려면 레벨 80 이상 및 헬 난이도가 필요합니다.|Der Zugang erfordert Level 80+ & Schwierigkeitsgrad Hölle|L'accès nécessite le niveau 80 minimum et la difficulté Enfer|El acceso requiere nivel 80+ y dificultad Infierno.|Dostęp wymaga poziomu 80+ i trudności Inferno
requires_max_level|Requires level 100|Vaatii tason 100|Requer nível 100| Требуется уровень 100|需要等級100|レベル100が必要|레벨 100이 필요합니다.|Benötigt Level 100|Niveau 100 requis|Requiere nivel 100.|Wymaga poziomu 100
tinker_chappel|This place is not as holy as it seems...|Tämä paikka ei ole niin pyhä kuin luulisi...|Esse lugar não é tão sagrado quanto parece...| Это место не такое святое, как кажется...|這個地方並不像看起來得那麼神聖...|この場所は見かけほど神聖ではありません。。。|여긴 보이는 것처럼 성스럽지 않아요...|Dieser Ort ist nicht so heilig wie er scheint...|Cet endroit n'est pas aussi saint qu'il y paraît...|Este lugar no es tan sagrado como parece...|To miejsce nie jest tak święte, jak się wydaje...
