|en|[fi]|pt|ru|zh|ja|ko|de|fr|sp|pl
etherMinSmall02|Chance when mined for an ore node to upgrade into a higher tier node instead of breaking||Chance de um nó de minério ser aprimorado para um nó de nível superior em vez de quebrar|Шанс на улучшение рудного узла до более высокого уровня вместо его разрушения при добыче|開採礦脈時有機率升級回復更高階節點而非破壞|採掘時に鉱脈が破壊される代わりに上位ランクの鉱脈へアップグレードされる確率|채굴 시 광맥이 파괴되는 대신 상위 등급 광맥으로 업그레이드될 확률|Chance, dass ein Erzaderpunkt beim Abbau zu einem höherwertigen Knotenpunkt aufgewertet wird, anstatt zu zerbrechen|Chance, lors de l'extraction d'un gisement de minerai, d'évoluer en un gisement de niveau supérieur au lieu de se briser|Probabilidad de que, al extraer un nodo de mineral, este suba de nivel en lugar de romperse|Szansa przy wydobyciu, że węzeł rudy ulepszy się do wyższego tieru zamiast się zniszczyć
etherMinSmall03|Increases the chance of an ore node to spawn as a rich or an overflowing vein.||Aumenta a chance de um nó de minério surgir como uma veia rica ou transbordante.|Увеличивает шанс появления богатой или переполненной жилы рудного узла.|機率礦脈生成為富有或充盈的礦脈|鉱脈が豊富または溢れ出す鉱脈で生成される確率が上昇|광맥이 풍부하거나 넘쳐흐르는 광맥으로 생성될 확률 증가|Erhöht die Chance, dass ein Erzaderpunkt als ergiebige oder überlaufende Ader erscheint.|Augmente la probabilité qu'un gisement de minerai apparaisse comme un filon riche ou débordant|Aumenta la probabilidad de que un nodo de mineral aparezca como una veta rica o rebosante|Zwiększa szansę na spawn węzła rudy jako bogatej lub przelewającej się żyły
etherMinSmall04|Chance to do a lucky hit rolling till failior, dropping additional ore for each successful roll. ||Chance de um acerto de sorte rolando até falhar, dropando minério adicional para cada rolagem bem-sucedida.|Шанс на удачную находку, броски до неудачи, с выпадением дополнительной руды за каждый успешный бросок.|機率觸發幸運連擊（持續直到失敗），每次成功會額外掉落礦石|失敗するまでラッキー発見が発動し、成功するたびに追加の鉱石を獲得|실패할 때까지 행운의 발견 발동, 성공할 때마다 추가 광석 획득|Chance, einen Glückstreffer zu würfeln, bis man scheitert und für jeden erfolgreichen Wurf zusätzliches Erz erhält.|Chance de faire un coup de chance en lançant les dés jusqu'à l'échec, obtenant du minerai supplémentaire à chaque lancer réussi|Probabilidad de realizar un golpe de suerte tirando hasta fallar, obteniendo mineral adicional por cada éxito|Szansa na wykonanie szczęśliwego trafu – rzut aż do porażki, dropując dodatkowe rudy za każdy udany rzut
etherMinSmall05|Gain movement phasing and stacking movement speed after mining a node.||Ganha velocidade de movimento progressiva e cumulativa após minerar um nó.|Получаете фазирование движения и увеличиваете скорость передвижения после добычи узла.|移動速度在開採節點後並獲得相位效果|鉱脈採掘後の移動 位相調整と移動速度 重ね合わせ取得|광맥 채굴 후 이동 위상 조절 및 이동 속도 중첩 획득|Erhält nach dem Abbau eines Knotenpunkts Bewegungsphasen und stapelbare Bewegungsgeschwindigkeit.|Gagne la vitesse de déplacement et le passage en phase après l'extraction d'un gisement|Obtienes traspaso y velocidad de movimiento acumulativa tras extraer un nodo|Zyskaj fazowanie ruchu i stackującą się prędkość ruchu po wydobyciu węzła
etherMinSmall06|Chance to gain a prospect material from mining rich or overflowing veins.||Chance de obter um material de prospecção ao minerar veias ricas ou transbordantes.|Шанс получить материал для поиска при добыче богатых или переполненных жил.|開採富有或充盈的礦脈時有機率獲得探勘材料|豊富または溢れんばかりの鉱脈 採掘時に探査素材取得確率が上昇|풍부하거나 넘쳐흐르는 광맥 채굴 시 탐사 재료 획득 확률 증가|Chance, beim Abbau ergiebiger oder überlaufender Adern ein Prospektionsmaterial zu erhalten.|Chance d'obtenir un matériau de prospection en extrayant des filons riches ou débordants|Probabilidad de obtener un material de prospección al extraer vetas ricas o rebosantes|Szansa na uzyskanie materiału prospect z wydobycia bogatych lub przelewających się żył
etherMinSmall07|Chance to drop an Uncut Jewel when mining an ore node.||Chance de dropar uma Joia Bruta ao minerar um nó de minério.|Шанс выпадения необработанного драгоценного камня при добыче рудного узла.|機率開採礦脈節點時掉落未切割珠寶|鉱脈採掘時に未加工の宝石取得確率が上昇|광맥 채굴 시 가공되지 않은 보석 획득 확률 증가|Chance, beim Abbau eines Erzaderpunkts einen ungeschliffenen Juwel zu erhalten.|Chance d'obtenir un joyau brut lors de l'extraction d'un gisement|Probabilidad de obtener una joya sin tallar al extraer un nodo de mineral|Szansa na drop Nieoszlifowanego Klejnotu przy wydobyciu węzła rudy
etherMinSmall08|Increased Mining Node discovery range.||Aumentado o alcance de detecção de nós de mineração.|Увеличен радиус обнаружения майнинговых узлов.|增加採礦節點的發現範圍。|採掘ポイントの発見範囲を拡大しました。|채광 노드 발견 범위 증가.|Erhöhte Reichweite zum Aufspüren von Erz- und Mineralvorkommen.|Portée de détection des gisements miniers augmentée.|Mayor radio de descubrimiento de Nodos de Minería.|Zwiększono zasięg wykrywania złóż surowców.
etherMinSmall09|Chance to summon a portal to Asgard when mining a Rich or Overflowing node.||Chance de invocar um portal para Asgard ao minerar um nó Rico ou Transbordante. |При добыче ресурсов из богатых или переполненных месторождений существует вероятность вызвать портал в Асгард.|開採富有或充盈的礦節點時，有機率召喚通往阿斯加德的傳送門。|「豊富な（Rich）」または「溢れ出る（Overflowing）」採掘ポイントを採掘した際、アスガルドへのポータルを召喚する確率を追加しました。 |풍부한 광맥 또는 넘치는 광맥 채광 시 아스가르드로 통하는 포탈 소환 확률.|Chance, beim Abbau eines ergiebigen oder überquellenden Vorkommens ein Portal nach Asgard zu beschwören. |Chance d'invoquer un portail vers Asgard lors de l'extraction d'un gisement riche ou surabondant. |Probabilidad de invocar un portal a Asgard al minar un nodo Rico o Rebosante.|Szansa na przywołanie portalu do Asgardu podczas wydobycia z bogatego lub przepełnionego złoża.
etherMinBig01|Chance to get ambushed by Ore Goblins that drop ore and materials based on the mined node.||Chance de ser emboscado por Goblins de Minério que dropam minério e materiais com base no nó minerado.|Шанс попасть в засаду рудных гоблинов, которые сбрасывают руду и материалы в зависимости от добытого узла.|機率被礦石哥布林伏擊，它們會根據開採的節點掉落礦石和材料|採掘した鉱脈に応じて鉱石や素材をドロップする鉱石ゴブリンの奇襲に遭う確率|채굴한 광맥에 따라 광석과 재료를 드롭하는 광석 고블린의 기습당한 확률|Chance, von Erzgoblins überfallen zu werden, die Erz und Materialien basierend auf dem abgebauten Knotenpunkt fallen lassen.|Chance de subir une embuscade de gobelins mineurs qui laissent tomber du minerai et des matériaux en fonction du gisement extrait|Probabilidad de ser emboscado por goblins de mineral que sueltan materiales según el nodo extraído|Szansa na zasadzkę Ore Goblins, które dropią rudę i materiały w zależności od wydobytego węzła
etherMinBig02|Chance for the ore node to not break upon mining and become mineable again.||Chance de o nó de minério não quebrar ao ser minerado e se tornar minerável novamente.|Шанс, что рудный узел не сломается при добыче и снова станет пригодным для добычи.|機率礦脈節點開採後不被破壞，可再次開採|採掘時に鉱脈が壊れず、再び採掘できる確率|채굴 시 광맥이 부서지지 않고 다시 채굴 가능해질 확률.|Chance, dass der Erzaderpunkt beim Abbau nicht zerbricht und erneut abbaubar wird.|Chance que le gisement de minerai ne se brise pas lors de l'extraction et redevienne exploitable Chance d'obtenir une carte de tarot aléatoire en extrayant un gisement d'or et de rubis.|Probabilidad de que el nodo de mineral no se rompa al extraerlo y pueda minarse de nuevo|Szansa, że węzeł rudy nie zniszczy się przy wydobyciu i będzie możliwy do ponownego wydobycia
etherMinBig03|Chance for a Gold and Ruby ore node to randomly drop any Tarot Card.||Chance de um nó de minério de ouro e rubi dropar aleatoriamente qualquer carta de tarô.|Шанс, что из золотого или рубинового рудного узла случайным образом выпадет любая карта Таро.|機率黃金與紅寶石礦脈隨機掉落任意塔羅牌|金とルビーの鉱脈で、タロットカードのうちの一枚がランダムにドロップする確率|금과 루비 광맥에서 타로 카드 중 하나가 무작위로 드롭될 확률.|Chance, dass eine Gold- und Rubin-Erzader zufällig eine beliebige Tarotkarte fallen lässt.|Chance d'obtenir une gemme pure en extrayant un filon abondant.|Probabilidad de que un nodo de oro y rubí suelte aleatoriamente cualquier carta del tarot|Szansa, że węzeł rudy złota i rubinów losowo dropnie dowolną Kartę Tarota
etherMinBig04|Chance to drop a Pristine Gem from an overflowing vein.||Chance de dropar uma gema imaculada de uma veia transbordante.|Шанс выпадения первозданного самоцвета из переполненной жилы.|機率充盈的礦脈會掉落嶄新寶石|鉱脈が溢れる場所で純粋な宝石がドロップする確率|광맥이 넘쳐흐르는 곳에서 순수한 보석이 드롭될 확률.|Chance, dass eine überlaufende Ader einen makellosen Edelstein fallen lässt.|Il est possible qu'un filon abondant recèle une pierre précieuse d'une qualité irréprochable. |Probabilidad de obtener una gema prístina de una veta rebosante|Szansa na drop Doskonałego Klejnotu z przelewającej się żyły
etherMinBig05|Increased Mining Node discovery range.||Alcance de detecção de nós de mineração aumentado.|Увеличен радиус обнаружения майнинговых узлов.|增加採礦點的發現範圍。|採掘ポイントの発見範囲が拡大。|채광 노드 발견 범위 증가.|Erhöhte Entdeckungsreichweite für Erz-Vorkommen.|Portée de détection des gisements accrue.|Mayor radio de descubrimiento de Nodos de Minería.|Zwiększony zasięg wykrywania złóż.
etherMinBig06|Mining Nodes break instantly, but every other mining node is disabled.||Nós de mineração quebram instantaneamente, mas todos os outros nós de mineração são desativados.|Узлы майнинга мгновенно выходят из строя, но все остальные узлы майнинга отключаются.|採礦點會立即採完，但每隔一個採礦點都會被禁用。|採掘ポイントは即座に破壊されるが、他の採掘ポイントはすべて無効化される。|채광 노드가 즉시 파괴되지만, 다른 모든 채광 노드 비활성화.|Erz-Vorkommen werden sofort abgebaut, aber jedes zweite Vorkommen ist deaktiviert.|Les gisements se brisent instantanément, mais un gisement sur deux est désactivé.|Los Nodos de Minería se rompen al instante, pero todos los demás variantes de nodos de minería quedan desactivadas.|Złoża pękają natychmiast, ale co drugie złoże jest wyłączone.
etherMinBig07|Chance for nodes to spawn as Rich or Overflowing.||Chance de os nós surgirem como Ricos ou Transbordantes.|Вероятность появления узлов с характеристиками «Богатый» или «Переполненный».|採礦點有機率生成為富有或充盈狀態。|採掘ポイントが「リッチ（Rich）」または「オーバーフロー（Overflowing）」として出現する確率。|채광 노드가 풍부한 광맥 또는 넘치는 광맥으로 생성될 확률.|Chance, dass Vorkommen als „reichhaltig“ oder „überquellend“ erscheinen.|Probabilité que les gisements apparaissent sous forme riche ou débordante.|Probabilidad de que los nodos aparezcan como Ricos o Rebosantes.|Szansa na pojawienie się złóż bogatych lub przepełnionych.
etherMinBig07_02|Chance for nodes to become Bottomless.||Chance de os nós se tornarem Inesgotáveis.|Вероятность того, что узлы станут бездонными.|採礦點有機率變為無盡礦點。|採掘ポイントが「底なし（Bottomless）」になる確率。|채광 노드가 무한 광맥으로 변할 확률.|Chance, dass Vorkommen „bodenlos“ werden.|Probabilité que les gisements deviennent inépuisables.|Probabilidad de que los nodos se vuelvan Inagotables.|Szansa na to, że złoża staną się niewyczerpane.
