|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
talent_desc_infernoSlash|Send forward a fire enchanted cleave attack dealing increased damage and additional fire damage.|Send forward a fire enchanted cleave attack dealing increased damage and additional fire damage.|Lance um Ataque de Corte encantado com fogo causando Dano Aumentado e Dano Adicional de fogo.| Отправьте вперед огненную зачарованную атаку рассекающим ударом, наносящую увеличенный урон и дополнительный урон от огня.|打出一次帶有火焰附魔的劈砍攻擊, 造成傷害和附加火焰傷害. |火属性付与されたクリーブ攻撃を前方に放ち、増加ダメージと追加の火属性ダメージを与える。|불속성으로 강화된 회전 공격을 앞으로 내질러 추가 데미지와 불 데미지를 입힙니다.|Sende einen mit Feuer verzauberten Spaltangriff aus, der erhöhten Schaden und zusätzlichen Feuerschaden verursacht.|Portez une attaque de enchantée par le feu, qui inflige des dégâts de feu supplémentaires et enflamme les ennemis touchés.|Lancez une attaque de zone enchantée par le feu, infligeant des dégâts accrus et des dégâts de feu supplémentaires.|Wyślij do przodu cięcie zaklęte ogniem zadające zwiększone obrażenia i dodatkowe obrażenia fire.
talent_desc_ignite|All fire enchanted attacks add a stack of ignite on the monster, causing them to combust at 10 stacks dealing area of effect fire damage.|All fire enchanted attacks add a stack of ignite on the monster, causing them to combust at 10 stacks dealing area of effect fire damage.|Todos os ataques com Encantamento de Fogo adicionam um acúmulo de Ignição no inimigo, fazendo com que ele entre em combustão com 10 acúmulos, causando Dano de Fogo em área.| Все атаки, зачарованные огнем, добавляют заряд воспламенения на монстра.|所有帶有火焰附魔的攻擊都會在敵人身上添加一層點燃效果, 使他們在10層時引爆, 造成範圍火焰傷害. |すべての火属性付与攻撃はモンスターにイグナイトのスタックを付与し、10スタックで範囲火属性ダメージを与える燃焼爆発を起こす。|모든 불 속성 강화 공격은 몬스터에게 점화 중첩을 추가하며, 10중첩 시 폭발하여 범위 불 데미지를 입힙니다.|Alle mit Feuer verzauberten Angriffe fügen dem Monster einen Stapel Entzünden hinzu, wodurch es bei 10 Stapeln in Flammen aufgeht und Flächenfeuerschaden verursacht.|Toutes les attaques enchantées par le feu ajoutent un cumul de combustion sur l'ennemi, qui s'enflamme au bout de 10 cumuls et inflige des dégâts de feu de zone.|Toutes les attaques enchantées par le feu ajoutent un cumul d'Embrasement au monstre, le faisant s'enflammer à 10 cumuls et infligeant des dégâts de feu de zone.|Wszystkie ataki zaklęte ogniem dodają stack ignite na potworze powodując jego spalenie przy 10 stackach zadające obrażenia obszarowe fire.
talent_desc_fireShield|Cast a shield of fire that increases your Physical damage reduction and deals fire damage to monsters around you. |Cast a shield of fire that increases your damage reduction and deals fire damage to monsters around you. |Conjura um escudo de fogo que aumenta a sua Redução de Dano Físico e Causa dano de fogo nos inimigos em sua volta.| Создайте огненный щит, который увеличивает поглощение урона и наносит урон от огня окружающим вас монстрам.|施放火焰護盾, 增加你的傷害減免, 並對周圍的怪物造成火焰傷害. |炎の盾を展開し、ダメージ軽減を上げ、周囲のモンスターに火属性ダメージを与える。|불의 방패를 전개하여 데미지 감소를 증가시키고 주변 몬스터에게 불 데미지를 입힙니다.|Wirke einen Feuerschild, der deine Schadensreduktion erhöht und Monstern in deiner Nähe Feuerschaden zufügt.|Lancez un bouclier de feu pour augmenter votre réduction des dégâts et brûler les ennemis autour de vous.|Lancez un bouclier de feu qui augmente votre réduction de dégâts et inflige des dégâts de feu aux monstres proches.|Rzuć tarczę ognia która zwiększa twoją redukcję obrażeń i zadaje obrażenia fire potworom wokół ciebie.
talent_desc_searingChains|When striking a monster unleash a powerful chain attack dealing increased damage, additional fire damage and stunning monsters struck.|When striking a monster unleash a powerful chain attack dealing increased damage, additional fire damage and stunning monsters struck.|Desencadeia um poderoso ataque em cadeia contra o inimigo mais próximo, causando Dano Aumentado e Dano de Fogo Adicional aos inimigos atingidos.| При ударе по монстру вызывайте мощную цепную атаку, наносящую повышенный урон.|攻擊怪物時釋放強大的連鎖攻擊，造成傷害和附加火焰傷害，並擊暈被擊中的敵人. |モンスターを攻撃すると強力な連鎖攻撃を解き放ち、増加ダメージ、追加の火属性ダメージを与え、命中したモンスターをスタンさせる。|몬스터를 공격할 때 강력한 연쇄 공격을 발동하여 추가 데미지와 불 데미지를 입히고, 적중한 몬스터를 기절시킵니다.|Beim Angriff auf ein Monster wird ein mächtiger Kettenangriff ausgelöst, der erhöhten Schaden und zusätzlichen Feuerschaden verursacht und getroffene Monster betäubt.|Déchaîne une puissante attaque en chaîne sur l'ennemi le plus proche, infligeant des dégâts et étourdissant les ennemis touchés.|Lorsque vous touchez un monstre, déclenchez une puissante attaque en chaîne infligeant des dégâts accrus, des dégâts de feu supplémentaires et étourdissant les monstres touchés.|Gdy uderzasz potwora uwolnij potężny atak łańcuchowy zadający zwiększone obrażenia, dodatkowe obrażenia fire i ogłuszający trafione potwory.
talent_desc_livingBomb|Throw a molten bomb which explodes and sticks a ticking bomb on the monsters dealing damage over time and finally exploding. monsters within explosion radius also get the debuff.|Throw a molten bomb which explodes and sticks a ticking bomb on the monsters dealing damage over time and finally exploding. monsters within explosion radius also get the debuff.|Lança uma bomba derretida que explode e cola uma bomba de efeito contínuo nos inimigos, causando dano ao longo do tempo e explodindo no final. Os inimigos no raio da explosão também recebem o debuff.| Бросьте расплавленную бомбу, которая взрывается и прикрепляет к монстрам тикающую бомбу, наносящую урон с течением времени и в конце взрывающуюся. Монстры в радиусе взрыва также получают дебафф.|投擲一顆熔岩炸彈，爆炸後會在敵人身上放置一枚定時炸彈，造成持續傷害並最終爆炸. 爆炸範圍內的敵人也會受到減益效果. |溶岩の爆弾を投げ、爆発してモンスターに時限爆弾を貼り付け、時間経過でダメージを与え、最後に爆発する。爆発範囲内のモンスターもデバフを受ける。|용암 폭탄을 던져 폭발시키고 몬스터에게 설치형 폭탄을 붙여 지속적으로 데미지를 입히며 최종적으로 폭발시킵니다. 폭발 범위 내 몬스터들도 디버프에 걸립니다.|Wirf eine geschmolzene Bombe, die explodiert und eine tickende Zeitbombe an den Monstern anhaftet, welche Schaden über Zeit verursacht und schließlich explodiert. Monster im Explosionsradius erhalten ebenfalls den Debuff.||Lancez une bombe en fusion qui explose et colle une bombe à retardement sur les monstres, infligeant des dégâts sur la durée avant d'exploser. Les monstres dans le rayon d'explosion subissent également l'effet négatif. |Rzuć stopioną bombę która eksploduje i przyczepia tykającą bombę na potworach zadającą obrażenia w czasie i ostatecznie eksplodującą. Potwory w promieniu eksplozji również otrzymują debuff.
talent_desc_fieryPresence|Increases your fire skill damage.|Increases your fire skill damage.|Aumenta o seu Dano de Habilidade de Fogo.| Увеличивает урон от вашего навыка огня.|增加你的火焰技能傷害. |火属性スキルのダメージを増加させる。|추가 불 스킬 데미지|Erhöht euren Feuerschaden.|Augmente de façon passive les dégâts de vos compétences de feu.|Augmente les dégâts de vos compétences de feu.|Zwiększa twoje obrażenia umiejętności fire.
talent_desc_avatarOfFire|Temporarily turns you into an avatar of fire; Increasing your attack speed, fire damage, spell critical damage and spell critical chance.|Temporarily turns you into an avatar of fire; Increasing your attack speed, fire resistance and attack rating.|Transforma-te temporariamente em um avatar de fogo, aumentado a Velocidade de Ataque, Dano de Fogo, Dano crítico para feitiços e Chance crítica para feitíços.| Временно превращает вас в аватар огня.|暫時將你變成火的化身；提高你的攻擊速度、火焰抗性和攻擊命中率. |一時的に火の化身となり、攻撃速度、火耐性、命中率を上昇させる。|일시적으로 당신을 불의 화신으로 변신시켜 공격 속도, 불 저항, 명중률을 증가시킵니다.|Verwandelt dich vorübergehend in einen Feueravatar; erhöht deine Angriffsgeschwindigkeit, Feuerresistenz und Angriffsstärke.|Vous transforme en un avatar de feu ; augmente votre vitesse d'attaque, votre résistance au feu et votre niveau d'attaque.|Vous transforme temporairement en avatar de feu, augmentant votre vitesse d'attaque, votre résistance au feu et votre précision.|Tymczasowo zamienia cię w awatara ognia; zwiększając twoją prędkość ataku, odporność na fire i trafienie ataku.
talent_desc_fireBall|Cast a fireball dealing fire damage to monsters.|Cast a fireball dealing fire damage to monsters.|Lança uma bola de fogo que causa Dano de Fogo nos inimigos.| Выпускает огненный шар, наносящий урон монстрам.|發射一個火球，對怪物造成火焰傷害. |ファイアボールを詠唱し、モンスターに火属性ダメージを与える。|불덩이를 던져 몬스터에게 불 데미지를 입힙니다.|Wirke einen Feuerball, der Monstern Feuerschaden zufügt.|Lance une boule de feu qui inflige des dégâts de feu aux ennemis.|Lancez une boule de feu infligeant des dégâts de feu aux monstres.|Rzuć kulę ognia zadającą obrażenia fire potworom.
talent_desc_breathOfFire|Breathe burning flames dealing fire damage and inflicting burning on hit.|Breathe burning flames dealing fire damage and inflicting burning on hit.|Sopra chamas ardentes, causando Dano de Fogo e incendiando os inimigos atingidos.| Выдыхает пылающее пламя, наносящее урон от огня и вызывающее горение при попадании.|吐出燃燒的火焰，造成火焰傷害，並燃燒被擊中的敵人. |燃え盛る炎を吐き出し、火属性ダメージと命中時に燃焼を付与する。|불타는 불꽃을 발산하여 불 데미지를 입히고 적중 시 화상을 입힙니다.|Atmet brennende Flammen, die Feuerschaden verursachen und bei Treffern Verbrennungen hervorrufen.|Souffle des flammes brûlantes qui brûlent les ennemis touchés.|Soufflez des flammes ardentes infligeant des dégâts de feu et brûlant les ennemis touchés.|Wydychaj płonące płomienie zadające obrażenia fire i nakładające palenie przy trafieniu.
talent_desc_meteor|Cast a powerful meteor forwards dealing area of effect fire damage on impact.|Cast a powerful meteor forwards dealing area of effect fire damage on impact.|Lança um poderoso meteoro para a frente, causando Dano de Fogo em área no impacto.| Бросает вперед мощный метеор, наносящий урон огнем по области при ударе.|向前施放強大的流星，在撞擊時造成範圍火焰傷害. |強力な隕石を前方に放ち、着弾時に範囲火属性ダメージを与える。|강력한 유성을 앞으로 발사하여 충격 시 범위 불 데미지를 입힙니다.|Wirf einen mächtigen Meteor nach vorn, der beim Aufprall Flächenbrandschaden verursacht.|Lance un puissant météore en avant qui inflige des dégâts de zone à l'impact.|Lancez un puissant météore infligeant des dégâts de feu de zone à l'impact.|Rzuć potężny meteor do przodu zadający obrażenia obszarowe fire przy uderzeniu.
talent_desc_scorchingAura|Scorch monsters around you dealing fire damage.|Scorch monsters around you dealing fire damage.|Causa Dano de Fogo periodicamente aos inimigos em seu redor.| Поджигайте монстров вокруг себя, нанося урон огнем.|燒灼你周圍的敵人，造成火焰傷害. |周囲のモンスターを焼き払い、火属性ダメージを与える。|주변 몬스터를 태워 불 데미지를 입힙니다.|Versenge Monster in deiner Umgebung und füge ihnen Feuerschaden zu.|Brûle les ennemis autour de vous lorsqu'il est actif.|Brûlez les monstres autour de vous, leur infligeant des dégâts de feu.|Parz potwory wokół siebie zadając obrażenia fire.
