[Item Stats]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
stat_defense_vs_missile|Defense vs Missiles|Puolustus vs ohjukset|Defesa Contra Projéteis|Защита от снарядов|對投射物的防禦|ミサイルに対する防御|투사체 방어|Verteidigung gegen Geschosse|de défense contre les missiles|Defensa contra Proyectiles|Obrona przed pociskami
stat_hp_kill|Life After each Kill|Elämä jokaisen murhan jälkeen|Vida Após Cada Morte|Жизнь после каждого убийства|擊殺後生命回復|キル後の生命回復|죽인 후 생명력 회복|Leben nach jedem Kill|de vie après chaque mort|Vida al Matar|Życie po każdym zabiciu
stat_mana_kill|Mana After each Kill|Mana jokaisen tappamisen jälkeen|Mana Após Cada Morte|Мана после каждого убийства|擊殺後魔力回復|キル後のマナ回復|죽인 후 마나 회복|Mana nach jedem Kill|de mana après chaque mort|Maná al Matar|Mana po każdym zabiciu
stat_max_hp|Life Increased by|Elinikä lisääntynyt|Vida Aumentada|Жизнь повышена|生命增加|生命力増加|생명력 증가|Leben erhöht um|Vie augmenté de |Vida Aumentada en|Życie zwiększone o
stat_max_mana|Mana Increased by|Mana lisääntynyt|Mana Aumentada|Мана повышена|魔力增加|マナ増加|마나 증가|Mana erhöht um|Mana augmenté de |Maná Aumentado en|Mana zwiększona o
stat_light_radius|to Light Radius|valonsäteeseen|Raio de Luz|Радиус освещения|光照範圍|光の半径へ|빛 반경|auf Lichtradius|au cercle de lumière|a Radio de Luz|do promienia światła
stat_damage_return|Damage Returned to the Attacker|Hyökkääjälle palautetuista vahingoista|Dano Devolvido ao Atacante|Часть урона возвращается атакующему|傷害反彈給攻擊者|攻撃者に返されるダメージの割合|공격 반사 데미지|von erlittenen Schaden zurückgeworfenem |de dégâts d'épine|Daño Reflejado al Atacante|Część obrażeń zwrócona atakującemu
stat_damage_return_p|Increased Damage Returned to the Attacker|||Увеличенный урон, возвращаемый нападающему|增加反射給攻擊者的傷害||공격자에게 반사되는 데미지 증가|||Daño Reflejado al Atacante Aumentado|
stat_damage_taken_mana|of Damage Taken Recouped as Mana|vahingoista, jotka on korvattu manana|Dano Recebido Recuperado como Mana|Полученный урон восстанавливается как мана|承受傷害轉為魔力恢復|受けたダメージのマナとして回復|데미지를 일부를 마나로 전환|von erlittenen Schaden als Mana zurückgewonnen|des dégâts subis récupérés sous forme de mana|del Daño Recibido se Recupera como Maná|Część otrzymanych obrażeń odzyskana jako mana
stat_damage_taken_life|of Damage Taken Recouped as Life|vahingonkorvaus henkinä|Dano Recebido Recuperado como Vida|Полученный урон восстанавливается как жизнь|承受傷害轉為生命恢復|受けたダメージのライフとして回復 |데미지 일부를 생명력으로 전환|von erlittenen Schaden als Leben zurückgewonnen|des dégâts subis récupérés sous forme de vie |del Daño Recibido se Recupera como Vida|Część otrzymanych obrażeń odzyskana jako życie
stat_damage_reduction|Physical Damage Taken Reduced by|Fyysiset vahingot vähennetty|Dano Físico Recebido Reduzido|Снижение физического урона|承受物理傷害減免|物理ダメージ軽減|물리 데미지 감소|Erlittener physischer Schaden reduziert um|Dégâts physiques subis réduits de |Daño Físico Recibido Reducido en|Otrzymane obrażenia fizyczne zmniejszone o
stat_magic_damage_reduction|Magic Damage Taken Reduced by|Magic Damage Taken Vähentynyt|Dano Mágico Recebido Reduzido|Снижение магического урона|承受法術傷害減免|受ける魔法ダメージが軽減|마법 데미지 감소|Erlittener magischer Schaden reduziert um|Dégâts magiques subis réduits de |Daño Mágico Recibido Reducido en|Otrzymane obrażenia magiczne zmniejszone o
stat_all_damage_reduction|All Damage Taken Reduced by|Kaikki vahingot vähennetty|Todo Dano Recebido Reduzido|Снижение всего урона|承受所有傷害減免|受ける全ダメージが軽減 |모든 데미지 감소|Erlittener Gesamtschaden reduziert um|Tous les dégâts subis réduits de |Todo el Daño Recibido Reducido en|Wszystkie otrzymane obrażenia zmniejszone o
stat_damage_reduced|Damage Taken Reduced by|Korvattu vaurio vähentynyt|Dano Recebido Reduzido|Снижение урона|承受傷害減免|ダメージ軽減|데미지 감소|Erlittener Schaden reduziert um|Dégâts subis réduits de |Daño Recibido Reducido en|Otrzymane obrażenia zmniejszone o
stat_mana_per_level|to Mana (Based on Level)|Manaan (tason perusteella)|Mana (Baseado no Nível)|Мана (в зависимости от уровня)|魔力（依角色等級）|レベルに基づくマナへ|마나(레벨 비례)|auf Mana (basierend auf Stufe)|à la mana (basé sur le niv.)|a Maná (Basado en Nivel)|do Many (zależnie od poziomu)
stat_life_per_level|to Life (Based on Level)|elämään (tason perusteella)|Vida (Baseado no Nível)|Жизнь (в зависимости от уровня)|生命（依角色等級）|レベルに基づく生命へ|생명력(레벨 비례)|auf Leben (basierend auf Stufe)|à la vie (basé sur le niv.)|a Vida (Basado en Nivel)|do Życia (zależnie od poziomu)
stat_defense_per_level|Defense (Based on Level)|Puolustus (tason perusteella)|Defesa (Baseado no Nível)|Защита (в зависимости от уровня)|防禦（依角色等級）|レベルに基づく防御力|방어력(레벨 비례)|auf Verteidigung (basierend auf Stufe)|de défense (basé sur le niv.)|Defensa (Basado en Nivel)|Obrona (zależnie od poziomu)
stat_magic_find_per_level|Magic Find (Based on Level)|Taikalöytö (tason perusteella)|Chance de Itens Mágicos (Baseado no Nível)|Магическая находка (в зависимости от уровня)|物品稀有度（依角色等級）|レベルに基づくマジックファインド|매직 아이템 확률(레벨 비례)|auf Magie Fund (basierend auf Stufe)|De découverte d'objets magiques (basé sur le niv.)|Hallazgo Mágico (Basado en Nivel)|Szansa na magiczne przedmioty (zależnie od poziomu)
stat_enhanced_defense_per_level|Enhanced Defense (Based on Level)|Tehostettu puolustus (tasoon perustuen)|Defesa Aprimorada (Baseado no Nível)|Усиленная защита (в зависимости от уровня)|增强防禦（依角色等級）|レベルに基づく強化防御力|증가된 방어구(레벨 비례)|auf verstärkte Verteidigung (basierend auf Stufe)|de défense (basé sur le niv.)|Defensa Mejorada (Basado en Nivel)|Zwiększona obrona (zależnie od poziomu)
stat_enhanced_damage_per_level|Enhanced Damage (Based on Level)|Lisääntynyt vahinko (tason perusteella)|Dano Aprimorado (Baseado no Nível)|Усиленный урон (в зависимости от уровня)|增强傷害（依角色等級）|レベルに基づく強化ダメージ|증가된 데미지(레벨 비례)|auf verstärkten Schaden (basierend auf Stufe)|de dégâts (basé sur le niv.)|Daño Mejorado (Basado en Nivel)|Zwiększone obrażenia (zależnie od poziomu)
stat_attack_rating_per_level|to Attack Rating (Based on Level)|hyökätä luokitus (tason perusteella)|Precisão de Ataque (Baseado no Nível)|Точность атаки (в зависимости от уровня)|命中率（依角色等級）|攻撃力評価（レベルに基づく） |명중률(레벨 비례)|zur Angriffswertung (basierend auf Stufe)|pour attaquer le niveau (en fonction du niveau) |a Rating de Ataque (Basado en Nivel)|do celności ataku (zależnie od poziomu)
stat_damage_per_level|to Physical Damage (Based on Level)|vaurioitumaan (tason perusteella)|Dano Físico (Baseado no Nível)|Физический урон (в зависимости от уровня)|物理傷害（依角色等級）|ダメージへ（レベルに基づく）|데미지(레벨 비례)|auf Schaden (basierend auf Stufe)|aux dégâts d'attaque (basé sur le niv.)|a Daño (Basado en Nivel)|do obrażeń fizycznych (zależnie od poziomu)
stat_strength_per_level|to Strength (Based on Level)|vahvuuteen (tason perusteella)|Força (Baseado no Nível)|Сила (в зависимости от уровня)|力量（依角色等級）|力へ（レベルに基づく）|힘(레벨 비례)|auf Stärke (basierend auf Stufe)|en force (basé sur le niv.)|a Fuerza (Basado en Nivel)|do Siły (zależnie od poziomu)
stat_dexterity_per_level|to Dexterity (Based on Level)|näppäryyteen (tason perusteella)|Destreza (Baseado no Nível)|Ловкость (в зависимости от уровня)|敏捷（依角色等級）|器用さまで (レベルに基づく)|민첩성((레벨 비례)|auf Geschicklichkeit (basierend auf Stufe)|de dextérité (basé sur le niv.)|a Destreza (Basado en Nivel)|do Zręczności (zależnie od poziomu)
stat_energy_per_level|to Energy (Based on Level)|energiaan (tason perusteella)|Energia (Baseado no Nível)|Энергия (в зависимости от уровня)|能量（依角色等級）|エネルギーへ（レベルに基づく）|에너지(레벨 비례)|auf Energie (basierend auf Stufe)|à l'énergie (basé sur le niv.)|a Energía (Basado en Nivel)|do Energii (zależnie od poziomu)
stat_intelligence_per_level|to Intelligence (Based on Level)|älykkyyteen (tason perusteella)|Inteligência (Baseado no Nível)|Интеллект (в зависимости от уровня)|智力（依角色等級）|知能（レベルに基づく） |지능(레벨 비례)|auf Intelligenz (basierend auf Stufe)|à l'intelligence (en fonction du niveau) |a Inteligencia (Basado en Nivel)|do Inteligencji (zależnie od poziomu)
stat_armor_per_level|to Armor (Based on Level)|panssariin (tason perusteella)|Armadura (Baseado no Nível)|Броня (в зависимости от уровня)|護甲（依角色等級）|アーマーへ（レベルに基づく）|방어력(레벨 비례)|auf Rüstung (basierend auf Stufe)|d'armure (basé sur le niv.)|a Armadura (Basado en Nivel)|do Pancerza (zależnie od poziomu)
stat_vitality_per_level|to Vitality (Based on Level)|elinvoimaisuuteen (tason perusteella)|Vitalidade (Baseado no Nível)|Живучесть (в зависимости от уровня)|體力（依角色等級）|体力へ（レベルに基づく）|활력(레벨 비례)|auf Vitalität (basierend auf Stufe)|en vitalité (basé sur le niv.)|a Vitalidad (Basado en Nivel)|do Witalności (zależnie od poziomu)
stat_all_resistance|to All Resistances|Kaikille vastustuksille|Todas as Resistências|Все сопротивления|所有元素抗性|全抵抗力へ|모든 저항|auf alle Resistenzen|à toutes les résistances|a Todas las Resistencias|do wszystkich odporności
stat_magic_resistance|to Arcane Resistance|Arcane Resistancelle|Resistência Arcana|Сопротивление тайной магии|奧術抗性|魔法抵抗力へ|아케인 저항|auf Arkanresistenz|à la résistance à l'arcane |a Resistencia Arcana|do odporności arkanicznej
stat_cold_resistance|to Cold Resistance|kylmänkestävyyteen|Resistência a Gelo|Сопротивление холоду|冰霜抗性|冷気抵抗力へ|냉기 저항|auf Kälteresistenz|à la résistance au froid|a Resistencia a Frío|do odporności na zimno
stat_fire_resistance|to Fire Resistance|tulenkestävyyteen|Resistência a Fogo|Сопротивление огню|火焰抗性|火焔抵抗力へ|불 저항|auf Feuerresistenz|à la résistance au feu|a Resistencia a Fuego|do odporności na ogień
stat_poison_resistance|to Poison Resistance|myrkkynkestävyyteen|Resistência a Veneno|Сопротивление яду|毒素抗性|毒抵抗力へ|독 저항|auf Giftresistenz|à la résistance au poison|a Resistencia a Veneno|do odporności na truciznę
stat_lightning_resistance|to Lightning Resistance|salamankestävyyteen|Resistência a Relâmpago|Сопротивление молнии|閃電抗性|雷撃抵抗力へ|번개 저항|auf Blitzresistenz|à la résistance à la foudre|a Resistencia a Rayo|do odporności na błyskawice
stat_max_all_resistance|to Maximum All Resists|Maximum All Resistille|Máximo de Todas as Resistências|Максимум всех сопротивлений|所有抗性上限|すべての耐性を最大にする |모든 최대 저항|bis zum Maximum aller Resists|pour maximiser toutes les résistances |a Máximo de Todas las Resistencias|do maksymalnych wszystkich odporności
stat_max_magic_resistance|to Maximum Arcane Resist|Maximum Arcane Resistiin|Máximo de Resistência Arcana|Максимум сопротивления тайной магии|奧術抗性上限|最大魔法抵抗力へ|최대 아케인 저항|auf maximale Arkanresistenz|à la résistance max à l'arcane |a Máxima Resistencia Arcana|do maksymalnej odporności arkanicznej
stat_max_fire_resistance|to Maximum Fire Resist|maksimaaliseen palonkestävyyteen|Máximo de Resistência a Fogo|Максимум сопротивления огню|火焰抗性上限|最大火焔抵抗力へ|최대 불 저항|auf maximale Feuerresistenz|à la résistance max au feu|a Máxima Resistencia a Fuego|do maksymalnej odporności na ogień
stat_max_cold_resistance|to Maximum Cold Resist|maksimaaliseen kylmänkestoon|Máximo de Resistência a Gelo|Максимум сопротивления холоду|冰霜抗性上限|最大冷気抵抗力へ|최대 냉기 저항|auf maximale Kälteresistenz|à la résistance max au froid|a Máxima Resistencia a Frío|do maksymalnej odporności na zimno
stat_max_poison_resistance|to Maximum Poison Resist|maksimaaliseen myrkkynkestävyyteen|Máximo de Resistência a Veneno|Максимум сопротивления яду|毒素抗性上限|最大毒抵抗力へ|최대 독 저항|auf maximale Giftresistenz|à la résistance max au poison|a Máxima Resistencia a Veneno|do maksymalnej odporności na truciznę
